date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/66740/000006674023000014/mmm-20221231.htm,1803,453,863,1483,91,296,464,3M Co,66740,-0.598404255319149
2021-12-31,https://www.sec.gov/Archives/edgar/data/66740/000006674022000010/mmm-20211231.htm,1704,479,819,1479,92,258,344,3M Co,66740,-0.5611543747136968
2020-12-31,https://www.sec.gov/Archives/edgar/data/66740/000155837021000737/mmm-20201231x10k.htm,1639,502,859,1272,84,261,371,3M Co,66740,-0.5310602522185894
2019-12-31,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/mmm-20191231x10k62bf35.htm,1467,520,845,1057,90,245,361,3M Co,66740,-0.4765978862606945
2018-12-31,https://www.sec.gov/Archives/edgar/data/66740/000155837019000470/mmm-20181231x10k.htm,1299,610,791,876,98,225,364,3M Co,66740,-0.3609219486642221
2017-12-31,https://www.sec.gov/Archives/edgar/data/66740/000155837018000535/mmm-20171231x10k.htm,1290,597,790,891,104,225,368,3M Co,66740,-0.3672496025437202
2016-12-31,https://www.sec.gov/Archives/edgar/data/66740/000155837017000479/mmm-20161231x10k.htm,1251,575,768,827,88,220,379,3M Co,66740,-0.3702081051478642
2015-12-31,https://www.sec.gov/Archives/edgar/data/66740/000155837016003162/mmm-20151231x10k.htm,997,531,703,724,89,205,343,3M Co,66740,-0.30497382198952877
2014-12-31,https://www.sec.gov/Archives/edgar/data/66740/000110465915009560/a15-1770_110k.htm,1008,510,732,742,87,211,320,3M Co,66740,-0.32806324110671936
2013-12-31,https://www.sec.gov/Archives/edgar/data/66740/000110465914009773/a14-5644_110k.htm,1145,525,716,818,88,199,350,3M Co,66740,-0.3712574850299401
2012-12-31,https://www.sec.gov/Archives/edgar/data/66740/000110465913010881/a13-1203_110k.htm,1190,513,737,805,89,200,354,3M Co,66740,-0.39753376394597767
2011-12-31,https://www.sec.gov/Archives/edgar/data/66740/000110465912010566/a11-31280_110k.htm,1167,524,743,793,97,198,368,3M Co,66740,-0.38024837374334713
2010-12-31,https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/a11-2060_110k.htm,1167,507,718,796,102,186,350,3M Co,66740,-0.3942652329749104
2009-12-31,https://www.sec.gov/Archives/edgar/data/66740/000110465910007295/a09-35783_110k.htm,1281,560,740,808,94,192,379,3M Co,66740,-0.3916349809885932
2008-12-31,https://www.sec.gov/Archives/edgar/data/66740/000110465909009669/a09-1282_110k.htm,1151,517,652,682,99,159,331,3M Co,66740,-0.3800959232613909
2007-12-31,https://www.sec.gov/Archives/edgar/data/66740/000110465908011226/a08-2453_110k.htm,884,464,573,600,74,134,291,3M Co,66740,-0.3115727002967359
2006-12-31,https://www.sec.gov/Archives/edgar/data/66740/000110465907013613/a07-5153_110k.htm,781,413,581,570,77,132,266,3M Co,66740,-0.3082077051926298
2005-12-31,https://www.sec.gov/Archives/edgar/data/66740/000110465906010894/a06-1861_110k.htm,633,316,546,497,86,127,196,3M Co,66740,-0.3340358271865121
2004-12-31,https://www.sec.gov/Archives/edgar/data/66740/000110465905008057/a05-3853_110k.htm,662,300,520,528,73,134,176,3M Co,66740,-0.3762993762993763
2003-12-31,https://www.sec.gov/Archives/edgar/data/66740/000089710104000425/mmm041053s1_10k.htm,647,311,495,527,66,123,172,3M Co,66740,-0.35073068893528186
2002-12-31,https://www.sec.gov/Archives/edgar/data/66740/000006674003000005/q410kbodyv1.txt,634,271,430,466,80,111,139,3M Co,66740,-0.4011049723756906
2001-12-31,https://www.sec.gov/Archives/edgar/data/66740/000006674002000006/q40110kprimary6.txt,459,232,304,363,80,76,86,3M Co,66740,-0.32850940665701883
2000-12-31,https://www.sec.gov/Archives/edgar/data/66740/000006674001000003/0000066740-01-000003-0001.txt,337,221,215,228,41,61,54,3M Co,66740,-0.2078853046594982
1999-12-31,https://www.sec.gov/Archives/edgar/data/66740/000006674000000005/,5,1,1,6,0,0,0,3M Co,66740,-0.6666666666666666
1998-12-31,https://www.sec.gov/Archives/edgar/data/66740/,5,1,1,6,0,0,0,3M Co,66740,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/66740/,5,1,1,6,0,0,0,3M Co,66740,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/66740/,5,1,1,6,0,0,0,3M Co,66740,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/66740/,5,1,1,6,0,0,0,3M Co,66740,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/66740/,5,1,1,6,0,0,0,3M Co,66740,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/66740/,5,1,1,6,0,0,0,3M Co,66740,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/66740/,5,1,1,6,0,0,0,3M Co,66740,-0.6666666666666666
