date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/4962/000000496223000006/axp-20221231.htm,1666,564,1403,894,108,555,594,American Express Co,4962,-0.49417040358744396
2021-12-31,https://www.sec.gov/Archives/edgar/data/4962/000000496222000008/axp-20211231.htm,1653,559,1385,872,116,560,581,American Express Co,4962,-0.4945750452079566
2020-12-31,https://www.sec.gov/Archives/edgar/data/4962/000000496221000013/axp-20201231.htm,1659,570,1343,853,130,535,624,American Express Co,4962,-0.48855989232839836
2019-12-31,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/axp-20191231.htm,1469,499,1319,797,115,524,610,American Express Co,4962,-0.4928861788617886
2018-12-31,https://www.sec.gov/Archives/edgar/data/4962/000000496219000018/axp201810k.htm,1560,573,1334,890,127,536,677,American Express Co,4962,-0.46272855133614627
2017-12-31,https://www.sec.gov/Archives/edgar/data/4962/000000496218000032/axp201710k.htm,1583,611,1353,932,143,534,687,American Express Co,4962,-0.4430264357338195
2016-12-31,https://www.sec.gov/Archives/edgar/data/4962/000119312517047588/d321397d10k.htm,1597,592,1353,966,137,530,725,American Express Co,4962,-0.459113750571037
2015-12-31,https://www.sec.gov/Archives/edgar/data/4962/000119312516469798/d131774d10k.htm,1790,772,1492,1127,170,555,821,American Express Co,4962,-0.39734582357533177
2014-12-31,https://www.sec.gov/Archives/edgar/data/4962/000119312515059931/d862737d10k.htm,1252,490,916,1074,132,518,611,American Express Co,4962,-0.43742824339839265
2013-12-31,https://www.sec.gov/Archives/edgar/data/4962/000119312514066777/d656045d10k.htm,1193,518,893,1038,137,493,647,American Express Co,4962,-0.3945061367621274
2012-12-31,https://www.sec.gov/Archives/edgar/data/4962/000119312513070554/d486442d10k.htm,1288,552,877,1122,139,480,660,American Express Co,4962,-0.4
2011-12-31,https://www.sec.gov/Archives/edgar/data/4962/000114036112011832/form10ka.htm,4,1,2,20,2,1,7,American Express Co,4962,-0.6
2011-12-31,https://www.sec.gov/Archives/edgar/data/4962/000119312512077400/d281394d10k.htm,1432,583,852,1314,164,453,667,American Express Co,4962,-0.42133995037220845
2010-12-31,https://www.sec.gov/Archives/edgar/data/4962/000095012311019072/y87970e10vk.htm,1295,586,754,1218,188,406,635,American Express Co,4962,-0.3769271664008506
2009-12-31,https://www.sec.gov/Archives/edgar/data/4962/000119312510041232/d10k.htm,966,494,630,929,109,325,425,American Express Co,4962,-0.3232876712328767
2008-12-31,https://www.sec.gov/Archives/edgar/data/4962/000119312509041008/d10k.htm,951,409,534,876,98,272,355,American Express Co,4962,-0.3985294117647059
2007-12-31,https://www.sec.gov/Archives/edgar/data/4962/000119312508042043/d10k.htm,664,360,414,769,82,203,227,American Express Co,4962,-0.296875
2006-12-31,https://www.sec.gov/Archives/edgar/data/4962/000095012307003020/y30921e10vk.htm,584,329,382,650,51,182,190,American Express Co,4962,-0.2792990142387733
2005-12-31,https://www.sec.gov/Archives/edgar/data/4962/000119312506046095/d10k.htm,480,334,379,528,56,182,165,American Express Co,4962,-0.17936117936117937
2004-12-31,https://www.sec.gov/Archives/edgar/data/4962/000095012305002932/y06418e10vk.txt,487,406,399,610,77,137,198,American Express Co,4962,-0.09070548712206047
2003-12-31,https://www.sec.gov/Archives/edgar/data/4962/000095011704000966/a37241.txt,456,373,413,541,79,127,174,American Express Co,4962,-0.10012062726176116
2002-12-31,https://www.sec.gov/Archives/edgar/data/4962/000000496203000042/main2.txt,389,333,405,432,49,125,137,American Express Co,4962,-0.07756232686980609
2001-12-31,https://www.sec.gov/Archives/edgar/data/4962/000095011702000727/a32343.txt,298,263,251,379,40,91,93,American Express Co,4962,-0.062388591800356503
2000-12-31,https://www.sec.gov/Archives/edgar/data/4962/000000496201500025/axp10k.txt,239,189,185,330,32,72,71,American Express Co,4962,-0.11682242990654206
1999-12-31,https://www.sec.gov/Archives/edgar/data/4962/000000496200000024/,5,1,1,6,0,0,0,American Express Co,4962,-0.6666666666666666
1998-12-31,https://www.sec.gov/Archives/edgar/data/4962/,5,1,1,6,0,0,0,American Express Co,4962,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/4962/,5,1,1,6,0,0,0,American Express Co,4962,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/4962/,5,1,1,6,0,0,0,American Express Co,4962,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/4962/,5,1,1,6,0,0,0,American Express Co,4962,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/4962/,5,1,1,6,0,0,0,American Express Co,4962,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/4962/,5,1,1,6,0,0,0,American Express Co,4962,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/4962/,5,1,1,6,0,0,0,American Express Co,4962,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/4962/,5,1,1,6,0,0,0,American Express Co,4962,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/4962/,5,1,1,6,0,0,0,American Express Co,4962,-0.6666666666666666
2023-09-30,https://www.sec.gov/Archives/edgar/data/4962/000000496223000038/axp-20230930.htm,527,164,281,281,33,95,150,American Express Co,4962,-0.5253256150506512
2023-06-30,https://www.sec.gov/Archives/edgar/data/4962/000000496223000028/axp-20230630.htm,532,180,273,276,32,92,133,American Express Co,4962,-0.4943820224719101
2023-03-31,https://www.sec.gov/Archives/edgar/data/4962/000000496223000016/axp-20230331.htm,488,161,275,264,34,94,135,American Express Co,4962,-0.5038520801232665
2022-09-30,https://www.sec.gov/Archives/edgar/data/4962/000000496222000054/axp-20220930.htm,507,195,299,279,33,95,133,American Express Co,4962,-0.4444444444444444
2022-06-30,https://www.sec.gov/Archives/edgar/data/4962/000000496222000041/axp-20220630.htm,479,197,277,265,32,93,126,American Express Co,4962,-0.4171597633136095
2022-03-31,https://www.sec.gov/Archives/edgar/data/4962/000000496222000028/axp-20220331.htm,474,172,264,270,28,93,125,American Express Co,4962,-0.4674922600619195
2021-09-30,https://www.sec.gov/Archives/edgar/data/4962/000000496221000060/axp-20210930.htm,535,192,286,296,41,104,147,American Express Co,4962,-0.4718019257221458
2021-06-30,https://www.sec.gov/Archives/edgar/data/4962/000000496221000042/axp-20210630.htm,533,179,281,289,37,101,137,American Express Co,4962,-0.49719101123595505
2021-03-31,https://www.sec.gov/Archives/edgar/data/4962/000000496221000028/axp-20210331.htm,537,183,273,289,39,99,134,American Express Co,4962,-0.49166666666666664
2020-09-30,https://www.sec.gov/Archives/edgar/data/4962/000000496220000098/axp-20200930.htm,585,186,294,236,32,99,150,American Express Co,4962,-0.5175097276264592
2020-06-30,https://www.sec.gov/Archives/edgar/data/4962/000000496220000079/axp-20200630.htm,600,183,294,239,37,104,154,American Express Co,4962,-0.5325670498084292
2020-03-31,https://www.sec.gov/Archives/edgar/data/4962/000000496220000054/axp-20200331.htm,563,146,293,228,33,98,147,American Express Co,4962,-0.5881523272214386
2019-09-30,https://www.sec.gov/Archives/edgar/data/4962/000000496219000086/axp-20190930.htm,414,138,236,247,32,83,143,American Express Co,4962,-0.5
2019-06-30,https://www.sec.gov/Archives/edgar/data/4962/000000496219000051/axpq21910q.htm,422,144,240,243,29,84,134,American Express Co,4962,-0.4911660777385159
2019-03-31,https://www.sec.gov/Archives/edgar/data/4962/000000496219000031/axpq11910q.htm,438,143,235,260,27,80,154,American Express Co,4962,-0.5077452667814114
2018-09-30,https://www.sec.gov/Archives/edgar/data/4962/000000496218000121/axpq31810q.htm,447,214,250,293,33,92,173,American Express Co,4962,-0.3524962178517398
2018-06-30,https://www.sec.gov/Archives/edgar/data/4962/000000496218000095/axpq21810q.htm,435,219,265,289,33,99,175,American Express Co,4962,-0.3302752293577982
2018-03-31,https://www.sec.gov/Archives/edgar/data/4962/000000496218000060/axpq11810q.htm,411,202,250,275,36,91,163,American Express Co,4962,-0.34094616639477976
2017-09-30,https://www.sec.gov/Archives/edgar/data/4962/000000496217000105/axpq31710q.htm,445,213,271,298,51,97,164,American Express Co,4962,-0.3525835866261398
2017-06-30,https://www.sec.gov/Archives/edgar/data/4962/000000496217000071/axpq21710q.htm,409,204,276,280,33,101,161,American Express Co,4962,-0.33442088091353994
2017-03-31,https://www.sec.gov/Archives/edgar/data/4962/000000496217000040/axpq11710q.htm,363,179,265,228,35,92,159,American Express Co,4962,-0.33948339483394835
2016-09-30,https://www.sec.gov/Archives/edgar/data/4962/000119312516746492/d258419d10q.htm,478,204,300,327,46,113,178,American Express Co,4962,-0.40175953079178883
2016-06-30,https://www.sec.gov/Archives/edgar/data/4962/000119312516657869/d218447d10q.htm,471,218,334,298,44,123,179,American Express Co,4962,-0.3671988388969521
2016-03-31,https://www.sec.gov/Archives/edgar/data/4962/000119312516558855/d172171d10q.htm,431,205,324,274,45,115,176,American Express Co,4962,-0.3553459119496855
2015-09-30,https://www.sec.gov/Archives/edgar/data/4962/000119312515356064/d20866d10q.htm,535,214,300,362,50,101,204,American Express Co,4962,-0.42857142857142855
2015-06-30,https://www.sec.gov/Archives/edgar/data/4962/000119312515267714/d80442d10q.htm,517,208,287,366,48,97,209,American Express Co,4962,-0.4262068965517241
2015-03-31,https://www.sec.gov/Archives/edgar/data/4962/000119312515155393/d914131d10q.htm,412,187,290,296,52,102,199,American Express Co,4962,-0.3756260434056761
2014-09-30,https://www.sec.gov/Archives/edgar/data/4962/000119312514384990/d808273d10q.htm,498,242,299,370,53,89,185,American Express Co,4962,-0.34594594594594597
2014-06-30,https://www.sec.gov/Archives/edgar/data/4962/000119312514286961/d762725d10q.htm,477,244,313,331,48,105,186,American Express Co,4962,-0.3231622746185853
2014-03-31,https://www.sec.gov/Archives/edgar/data/4962/000119312514167067/d714342d10q.htm,367,197,265,253,52,85,181,American Express Co,4962,-0.30141843971631205
2013-09-30,https://www.sec.gov/Archives/edgar/data/4962/000119312513415898/d600603d10q.htm,604,238,371,421,56,100,199,American Express Co,4962,-0.4346793349168646
2013-06-30,https://www.sec.gov/Archives/edgar/data/4962/000119312513307673/d575832d10q.htm,609,244,394,414,50,112,204,American Express Co,4962,-0.42790152403282533
2013-03-31,https://www.sec.gov/Archives/edgar/data/4962/000119312513180601/d526492d10q.htm,467,204,360,292,55,101,178,American Express Co,4962,-0.3919523099850969
2012-09-30,https://www.sec.gov/Archives/edgar/data/4962/000119312512443821/d429609d10q.htm,519,250,434,391,58,125,204,American Express Co,4962,-0.34980494148244473
2012-06-30,https://www.sec.gov/Archives/edgar/data/4962/000119312512332179/d387264d10q.htm,512,243,443,357,53,136,200,American Express Co,4962,-0.3562913907284768
