date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/318154/000031815423000017/amgn-20221231.htm,1677,599,1197,1321,124,622,561,Amgen Inc,318154,-0.47363796133567665
2021-12-31,https://www.sec.gov/Archives/edgar/data/318154/000031815422000010/amgn-20211231.htm,1685,618,1209,1450,146,639,566,Amgen Inc,318154,-0.46330872774641774
2020-12-31,https://www.sec.gov/Archives/edgar/data/318154/000031815421000010/amgn-20201231.htm,1744,619,1162,1499,138,649,550,Amgen Inc,318154,-0.4760897164621244
2019-12-31,https://www.sec.gov/Archives/edgar/data/318154/000031815420000019/amgn-12312019x10kq420191.htm,17,1,12,28,0,2,15,Amgen Inc,318154,-0.8888888888888888
2019-12-31,https://www.sec.gov/Archives/edgar/data/318154/000031815420000017/amgn-12312019x10kq42019.htm,1589,504,1016,1500,109,538,546,Amgen Inc,318154,-0.5183946488294314
2018-12-31,https://www.sec.gov/Archives/edgar/data/318154/000031815419000008/amgn-12312018x10kq42018.htm,1377,493,955,1225,109,520,521,Amgen Inc,318154,-0.4727272727272727
2017-12-31,https://www.sec.gov/Archives/edgar/data/318154/000031815418000004/amgn-12312017x10k.htm,1333,527,944,1157,138,483,472,Amgen Inc,318154,-0.43333333333333335
2016-12-31,https://www.sec.gov/Archives/edgar/data/318154/000031815417000004/amgn-12312016x10k.htm,1191,460,940,1152,96,464,446,Amgen Inc,318154,-0.44276196244700183
2015-12-31,https://www.sec.gov/Archives/edgar/data/318154/000031815416000031/amgn-12312015x10k.htm,1193,496,962,1120,96,459,436,Amgen Inc,318154,-0.4126702190645352
2014-12-31,https://www.sec.gov/Archives/edgar/data/318154/000031815415000005/amgn-12312014x10k.htm,1256,484,990,1115,106,493,434,Amgen Inc,318154,-0.4436781609195402
2013-12-31,https://www.sec.gov/Archives/edgar/data/318154/000031815414000004/amgn-12312013x10k.htm,1138,468,979,1058,102,465,422,Amgen Inc,318154,-0.41718555417185554
2012-12-31,https://www.sec.gov/Archives/edgar/data/318154/000119312513312834/d573775d10ka.htm,51,41,31,196,2,29,10,Amgen Inc,318154,-0.10869565217391304
2012-12-31,https://www.sec.gov/Archives/edgar/data/318154/000144530513000364/amgn-12312012x10k.htm,1478,588,1268,1379,190,649,508,Amgen Inc,318154,-0.430784123910939
2011-12-31,https://www.sec.gov/Archives/edgar/data/318154/000119312512086670/d241420d10k.htm,1521,548,1216,1491,192,625,475,Amgen Inc,318154,-0.47027549540840985
2010-12-31,https://www.sec.gov/Archives/edgar/data/318154/000095012311018800/v57113e10vk.htm,1500,504,1112,1356,191,572,478,Amgen Inc,318154,-0.49700598802395207
2009-12-31,https://www.sec.gov/Archives/edgar/data/318154/000119312510044311/d10k.htm,1619,497,1222,1356,189,595,453,Amgen Inc,318154,-0.5302457466918714
2008-12-31,https://www.sec.gov/Archives/edgar/data/318154/000119312509041091/d10k.htm,1953,484,1415,1654,222,716,559,Amgen Inc,318154,-0.6027903159622486
2007-12-31,https://www.sec.gov/Archives/edgar/data/318154/000119312508040431/d10k.htm,1858,472,1237,1698,205,628,511,Amgen Inc,318154,-0.5948497854077254
2006-12-31,https://www.sec.gov/Archives/edgar/data/318154/000119312507042586/d10k.htm,1220,381,1076,1247,171,546,358,Amgen Inc,318154,-0.5240474703310432
2005-12-31,https://www.sec.gov/Archives/edgar/data/318154/000110465906015851/a06-5805_110k.htm,907,345,870,864,179,437,316,Amgen Inc,318154,-0.4488817891373802
2004-12-31,https://www.sec.gov/Archives/edgar/data/318154/000095012905002159/v06403e10vk.htm,886,360,793,826,175,423,318,Amgen Inc,318154,-0.42215088282504015
2003-12-31,https://www.sec.gov/Archives/edgar/data/318154/000095014804000549/v96430e10vk.htm,771,324,666,723,137,377,280,Amgen Inc,318154,-0.40821917808219177
2002-12-31,https://www.sec.gov/Archives/edgar/data/318154/000089843003001854/d10k.htm,923,334,711,803,157,359,275,Amgen Inc,318154,-0.46857597454256167
2001-12-31,https://www.sec.gov/Archives/edgar/data/318154/000089843002000744/d10k.txt,464,182,381,425,69,234,128,Amgen Inc,318154,-0.43653250773993807
2000-12-31,https://www.sec.gov/Archives/edgar/data/318154/000089843001000873/0000898430-01-000873-0001.txt,429,155,321,453,59,185,100,Amgen Inc,318154,-0.4691780821917808
1999-12-31,https://www.sec.gov/Archives/edgar/data/318154/000089843000000676/,5,1,1,6,0,0,0,Amgen Inc,318154,-0.6666666666666666
1998-12-31,https://www.sec.gov/Archives/edgar/data/318154/,5,1,1,6,0,0,0,Amgen Inc,318154,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/318154/,5,1,1,6,0,0,0,Amgen Inc,318154,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/318154/,5,1,1,6,0,0,0,Amgen Inc,318154,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/318154/,5,1,1,6,0,0,0,Amgen Inc,318154,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/318154/,5,1,1,6,0,0,0,Amgen Inc,318154,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/318154/,5,1,1,6,0,0,0,Amgen Inc,318154,-0.6666666666666666
2023-09-30,https://www.sec.gov/Archives/edgar/data/318154/000031815423000064/amgn-20230930.htm,447,161,413,419,41,182,174,Amgen Inc,318154,-0.47039473684210525
2023-06-30,https://www.sec.gov/Archives/edgar/data/318154/000031815423000053/amgn-20230630.htm,426,146,356,423,44,152,147,Amgen Inc,318154,-0.48951048951048953
2023-03-31,https://www.sec.gov/Archives/edgar/data/318154/000031815423000029/amgn-20230331.htm,401,133,370,381,37,172,133,Amgen Inc,318154,-0.50187265917603
2022-09-30,https://www.sec.gov/Archives/edgar/data/318154/000031815422000055/amgn-20220930.htm,326,156,345,359,33,135,121,Amgen Inc,318154,-0.35269709543568467
2022-06-30,https://www.sec.gov/Archives/edgar/data/318154/000031815422000041/amgn-20220630.htm,366,161,382,395,41,165,131,Amgen Inc,318154,-0.3889943074003795
2022-03-31,https://www.sec.gov/Archives/edgar/data/318154/000031815422000021/amgn-20220331.htm,241,123,334,356,32,119,92,Amgen Inc,318154,-0.3241758241758242
2021-09-30,https://www.sec.gov/Archives/edgar/data/318154/000031815421000045/amgn-20210930.htm,442,165,384,430,45,169,123,Amgen Inc,318154,-0.45634266886326197
2021-06-30,https://www.sec.gov/Archives/edgar/data/318154/000031815421000034/amgn-20210630.htm,416,150,379,434,40,171,119,Amgen Inc,318154,-0.46996466431095407
2021-03-31,https://www.sec.gov/Archives/edgar/data/318154/000031815421000019/amgn-20210331.htm,331,127,316,381,33,134,97,Amgen Inc,318154,-0.44541484716157204
2020-09-30,https://www.sec.gov/Archives/edgar/data/318154/000031815420000060/amgn-20200930.htm,381,154,356,367,34,155,107,Amgen Inc,318154,-0.42429906542056073
2020-06-30,https://www.sec.gov/Archives/edgar/data/318154/000031815420000048/amgn-20200630.htm,383,141,342,361,32,151,107,Amgen Inc,318154,-0.4618320610687023
2020-03-31,https://www.sec.gov/Archives/edgar/data/318154/000031815420000031/amgn-2020331x10q.htm,320,129,286,386,31,116,99,Amgen Inc,318154,-0.42538975501113585
2019-09-30,https://www.sec.gov/Archives/edgar/data/318154/000031815419000046/amgn-2019930x10q.htm,321,129,281,418,27,122,138,Amgen Inc,318154,-0.4266666666666667
2019-06-30,https://www.sec.gov/Archives/edgar/data/318154/000031815419000037/amgn-2019630x10q.htm,460,130,334,512,29,159,141,Amgen Inc,318154,-0.559322033898305
2019-03-31,https://www.sec.gov/Archives/edgar/data/318154/000031815419000018/amgn-2019331x10q.htm,320,111,218,459,22,78,85,Amgen Inc,318154,-0.48491879350348027
2018-09-30,https://www.sec.gov/Archives/edgar/data/318154/000031815418000022/amgn-2018930x10q.htm,310,195,347,368,42,148,165,Amgen Inc,318154,-0.22772277227722773
2018-06-30,https://www.sec.gov/Archives/edgar/data/318154/000031815418000015/amgn-2018630x10q.htm,278,176,313,348,33,127,151,Amgen Inc,318154,-0.22466960352422907
2018-03-31,https://www.sec.gov/Archives/edgar/data/318154/000031815418000008/amgn-2018331x10q.htm,221,136,251,338,33,82,116,Amgen Inc,318154,-0.23809523809523808
2017-09-30,https://www.sec.gov/Archives/edgar/data/318154/000031815417000027/amgn-2017930x10q.htm,322,173,298,432,38,119,115,Amgen Inc,318154,-0.301010101010101
2017-06-30,https://www.sec.gov/Archives/edgar/data/318154/000031815417000021/amgn-2017630x10q.htm,302,174,313,437,39,129,122,Amgen Inc,318154,-0.2689075630252101
2017-03-31,https://www.sec.gov/Archives/edgar/data/318154/000031815417000009/amgn-2017331x10q.htm,182,129,253,338,29,106,103,Amgen Inc,318154,-0.17041800643086816
2016-09-30,https://www.sec.gov/Archives/edgar/data/318154/000031815416000053/amgn-2016930x10q.htm,284,154,293,390,33,126,127,Amgen Inc,318154,-0.2968036529680365
2016-06-30,https://www.sec.gov/Archives/edgar/data/318154/000031815416000046/amgn-2016630x10q.htm,224,140,252,359,26,87,94,Amgen Inc,318154,-0.23076923076923078
2016-03-31,https://www.sec.gov/Archives/edgar/data/318154/000031815416000035/amgn-2016331x10q.htm,202,135,248,348,25,95,105,Amgen Inc,318154,-0.19881305637982197
2015-09-30,https://www.sec.gov/Archives/edgar/data/318154/000031815415000025/amgn-2015930x10q.htm,267,160,262,349,30,97,107,Amgen Inc,318154,-0.2505854800936768
2015-06-30,https://www.sec.gov/Archives/edgar/data/318154/000119312515281301/d75716d10qa.htm,33,37,35,153,0,35,9,Amgen Inc,318154,0.05714285714285714
2015-06-30,https://www.sec.gov/Archives/edgar/data/318154/000031815415000022/amgn-2015630x10q.htm,260,167,279,372,29,116,121,Amgen Inc,318154,-0.21779859484777517
2015-03-31,https://www.sec.gov/Archives/edgar/data/318154/000031815415000010/amgn-2015331x10q.htm,158,111,215,305,26,68,77,Amgen Inc,318154,-0.17472118959107807
2014-09-30,https://www.sec.gov/Archives/edgar/data/318154/000031815414000022/amgn-2014930x10q.htm,192,145,256,325,31,83,104,Amgen Inc,318154,-0.1394658753709199
2014-06-30,https://www.sec.gov/Archives/edgar/data/318154/000031815414000017/amgn-2014630x10q.htm,182,145,254,325,26,80,79,Amgen Inc,318154,-0.11314984709480122
2014-03-31,https://www.sec.gov/Archives/edgar/data/318154/000031815414000008/amgn-2014331x10q.htm,144,122,222,292,12,60,71,Amgen Inc,318154,-0.08270676691729323
2013-09-30,https://www.sec.gov/Archives/edgar/data/318154/000031815413000012/amgn-2013930x10q.htm,199,138,209,345,17,70,86,Amgen Inc,318154,-0.18100890207715134
2013-06-30,https://www.sec.gov/Archives/edgar/data/318154/000031815413000008/amgn-2013630x10q.htm,169,121,195,332,13,63,59,Amgen Inc,318154,-0.16551724137931034
2013-03-31,https://www.sec.gov/Archives/edgar/data/318154/000144530513001107/amgn-2013331x10q.htm,139,111,182,293,12,55,56,Amgen Inc,318154,-0.112
2012-09-30,https://www.sec.gov/Archives/edgar/data/318154/000144530512003469/amgn-2012930x10q.htm,198,125,277,382,42,87,72,Amgen Inc,318154,-0.2260061919504644
2012-06-30,https://www.sec.gov/Archives/edgar/data/318154/000119312512344279/d351286d10q.htm,200,123,281,379,41,91,71,Amgen Inc,318154,-0.23839009287925697
2012-03-31,https://www.sec.gov/Archives/edgar/data/318154/000119312512216282/d312223d10q.htm,207,112,264,348,41,93,69,Amgen Inc,318154,-0.29780564263322884
2011-09-30,https://www.sec.gov/Archives/edgar/data/318154/000119312512115245/d301181d10qa.htm,31,25,35,203,0,34,8,Amgen Inc,318154,-0.10714285714285714
2011-09-30,https://www.sec.gov/Archives/edgar/data/318154/000119312511296147/d241043d10q.htm,278,123,320,451,46,132,109,Amgen Inc,318154,-0.3865336658354115
2011-06-30,https://www.sec.gov/Archives/edgar/data/318154/000095012311074348/v59427e10vq.htm,192,108,311,365,41,107,106,Amgen Inc,318154,-0.28
2011-03-31,https://www.sec.gov/Archives/edgar/data/318154/000095012311048073/v58996e10vq.htm,127,95,267,297,25,89,93,Amgen Inc,318154,-0.14414414414414414
2010-09-30,https://www.sec.gov/Archives/edgar/data/318154/000095012310102391/v57086e10vq.htm,192,112,247,334,35,109,75,Amgen Inc,318154,-0.2631578947368421
2010-06-30,https://www.sec.gov/Archives/edgar/data/318154/000095012310074870/v56588e10vq.htm,489,186,484,538,79,269,167,Amgen Inc,318154,-0.4488888888888889
2010-03-31,https://www.sec.gov/Archives/edgar/data/318154/000119312510112950/d10q.htm,281,126,350,458,46,166,115,Amgen Inc,318154,-0.3808353808353808
2009-09-30,https://www.sec.gov/Archives/edgar/data/318154/000119312509227739/d10q.htm,915,287,805,704,92,452,280,Amgen Inc,318154,-0.5224625623960066
2009-06-30,https://www.sec.gov/Archives/edgar/data/318154/000119312509169378/d10q.htm,813,258,816,676,100,462,265,Amgen Inc,318154,-0.5182072829131653
2009-03-31,https://www.sec.gov/Archives/edgar/data/318154/000119312509107323/d10q.htm,771,265,798,654,77,464,254,Amgen Inc,318154,-0.48841698841698844
2008-09-30,https://www.sec.gov/Archives/edgar/data/318154/000119312508228861/d10q.htm,798,221,717,643,131,393,264,Amgen Inc,318154,-0.5662414131501472
2008-06-30,https://www.sec.gov/Archives/edgar/data/318154/000119312508171935/d10q.htm,729,198,677,681,117,380,248,Amgen Inc,318154,-0.5728155339805825
2008-03-31,https://www.sec.gov/Archives/edgar/data/318154/000119312508110189/d10q.htm,712,203,646,635,92,359,256,Amgen Inc,318154,-0.5562841530054645
2007-09-30,https://www.sec.gov/Archives/edgar/data/318154/000119312507242573/d10q.htm,851,240,727,710,139,390,275,Amgen Inc,318154,-0.5600366636113657
2007-06-30,https://www.sec.gov/Archives/edgar/data/318154/000119312507176142/d10q.htm,687,207,717,623,126,428,250,Amgen Inc,318154,-0.5369127516778524
