date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2023-09-30,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,574,152,413,272,49,217,225,Apple Inc,320193,-0.581267217630854
2022-09-24,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,621,170,462,263,50,239,234,Apple Inc,320193,-0.5701643489254109
2021-09-25,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,638,180,458,286,48,237,240,Apple Inc,320193,-0.5599022004889975
2020-09-26,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,634,177,547,278,57,294,254,Apple Inc,320193,-0.5635018495684341
2019-09-28,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,601,181,529,292,55,266,239,Apple Inc,320193,-0.5370843989769821
2018-09-29,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,634,251,664,318,75,349,258,Apple Inc,320193,-0.4327683615819209
2017-09-30,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,635,259,708,314,86,343,274,Apple Inc,320193,-0.42058165548098436
2016-09-24,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,620,255,686,316,78,318,269,Apple Inc,320193,-0.41714285714285715
2015-09-26,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,658,272,699,336,68,322,282,Apple Inc,320193,-0.4150537634408602
2014-09-27,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,666,263,699,347,83,306,288,Apple Inc,320193,-0.43379978471474706
2013-09-28,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,660,246,686,329,70,289,279,Apple Inc,320193,-0.45695364238410596
2012-09-29,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,607,257,677,309,70,283,271,Apple Inc,320193,-0.4050925925925926
