date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292723000007/ba-20221231.htm,965,419,697,576,109,294,413,Boeing Co,12927,-0.3945086705202312
2021-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292722000010/ba-20211231.htm,1096,431,801,620,154,348,479,Boeing Co,12927,-0.435494433529797
2020-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292721000011/ba-20201231.htm,1259,445,862,672,177,372,499,Boeing Co,12927,-0.47769953051643194
2019-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292720000014/a201912dec3110k.htm,913,397,702,629,138,282,427,Boeing Co,12927,-0.3938931297709924
2018-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/a201812dec3110k.htm,693,396,611,585,101,255,415,Boeing Co,12927,-0.2727272727272727
2017-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292718000007/a201712dec3110k.htm,675,370,596,542,105,259,373,Boeing Co,12927,-0.291866028708134
2016-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292717000012/a201612dec3110-ka.htm,15,12,6,42,2,5,14,Boeing Co,12927,-0.1111111111111111
2016-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292717000006/a201612dec3110k.htm,723,380,625,567,107,269,376,Boeing Co,12927,-0.3109700815956482
2015-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292716000099/a201512dec3110k.htm,745,380,639,612,106,272,376,Boeing Co,12927,-0.3244444444444444
2014-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292715000011/a201412dec3110k.htm,764,374,642,623,107,272,376,Boeing Co,12927,-0.3427065026362039
2013-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292714000004/a201312dec3110k.htm,791,385,650,662,97,272,375,Boeing Co,12927,-0.34523809523809523
2012-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292713000014/a201212dec3110k.htm,866,359,658,704,96,274,381,Boeing Co,12927,-0.4138775510204082
2011-12-31,https://www.sec.gov/Archives/edgar/data/12927/000119312512048565/d255574d10k.htm,909,383,723,743,100,279,402,Boeing Co,12927,-0.4071207430340557
2010-12-31,https://www.sec.gov/Archives/edgar/data/12927/000119312511028490/d10k.htm,925,379,715,729,108,286,395,Boeing Co,12927,-0.4187116564417178
2009-12-31,https://www.sec.gov/Archives/edgar/data/12927/000119312510024406/d10k.htm,974,363,718,779,119,276,407,Boeing Co,12927,-0.4569932685115931
2008-12-31,https://www.sec.gov/Archives/edgar/data/12927/000119312509022654/d10k.htm,997,388,769,779,132,283,414,Boeing Co,12927,-0.43971119133574005
2007-12-31,https://www.sec.gov/Archives/edgar/data/12927/000119312508032328/d10k.htm,881,401,701,739,116,237,377,Boeing Co,12927,-0.374414976599064
2006-12-31,https://www.sec.gov/Archives/edgar/data/12927/000119312507033902/d10k.htm,937,409,689,729,126,218,386,Boeing Co,12927,-0.3922734026745914
2005-12-31,https://www.sec.gov/Archives/edgar/data/12927/000119312506040952/d10k.htm,1102,454,747,757,153,232,462,Boeing Co,12927,-0.41645244215938304
2004-12-31,https://www.sec.gov/Archives/edgar/data/12927/000119312505038602/d10k.htm,1157,506,784,730,169,216,540,Boeing Co,12927,-0.391461214672279
2003-12-31,https://www.sec.gov/Archives/edgar/data/12927/000119312504039346/d10ka.htm,6,7,16,80,11,12,14,Boeing Co,12927,0.07692307692307693
2003-12-31,https://www.sec.gov/Archives/edgar/data/12927/000119312504034751/d10k.htm,1044,410,751,673,141,209,463,Boeing Co,12927,-0.4360385144429161
2002-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292703000005/boeing10k_123102.htm,743,357,566,535,119,128,393,Boeing Co,12927,-0.3509090909090909
2001-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292702000005/k2001doc.txt,977,579,595,1430,135,208,753,Boeing Co,12927,-0.25578406169665807
2000-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292701000004/0000012927-01-000004-0001.txt,571,315,349,557,165,97,188,Boeing Co,12927,-0.28893905191873587
1999-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292700000002/,5,1,1,6,0,0,0,Boeing Co,12927,-0.6666666666666666
1998-12-31,https://www.sec.gov/Archives/edgar/data/12927/,5,1,1,6,0,0,0,Boeing Co,12927,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/12927/,5,1,1,6,0,0,0,Boeing Co,12927,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/12927/,5,1,1,6,0,0,0,Boeing Co,12927,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/12927/,5,1,1,6,0,0,0,Boeing Co,12927,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/12927/,5,1,1,6,0,0,0,Boeing Co,12927,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/12927/,5,1,1,6,0,0,0,Boeing Co,12927,-0.6666666666666666
2023-09-30,https://www.sec.gov/Archives/edgar/data/12927/000001292723000062/ba-20230930.htm,389,109,214,206,27,76,122,Boeing Co,12927,-0.5622489959839357
2023-06-30,https://www.sec.gov/Archives/edgar/data/12927/000001292723000048/ba-20230630.htm,359,98,209,201,26,74,115,Boeing Co,12927,-0.5711159737417943
2023-03-31,https://www.sec.gov/Archives/edgar/data/12927/000001292723000029/ba-20230331.htm,319,87,211,193,27,77,124,Boeing Co,12927,-0.5714285714285714
2022-09-30,https://www.sec.gov/Archives/edgar/data/12927/000001292722000073/ba-20220930.htm,413,116,241,228,36,80,134,Boeing Co,12927,-0.5614366729678639
2022-06-30,https://www.sec.gov/Archives/edgar/data/12927/000001292722000058/ba-20220630.htm,380,119,237,217,38,81,140,Boeing Co,12927,-0.5230460921843687
2022-03-31,https://www.sec.gov/Archives/edgar/data/12927/000001292722000022/ba-20220331.htm,353,112,245,204,49,82,155,Boeing Co,12927,-0.5182795698924731
2021-09-30,https://www.sec.gov/Archives/edgar/data/12927/000001292721000094/ba-20210930.htm,495,157,303,245,65,115,160,Boeing Co,12927,-0.5184049079754601
2021-06-30,https://www.sec.gov/Archives/edgar/data/12927/000001292721000073/ba-20210630.htm,469,150,286,242,61,106,151,Boeing Co,12927,-0.5153473344103393
2021-03-31,https://www.sec.gov/Archives/edgar/data/12927/000001292721000040/ba-20210331.htm,439,127,281,221,61,101,148,Boeing Co,12927,-0.5512367491166078
2020-09-30,https://www.sec.gov/Archives/edgar/data/12927/000001292720000076/ba-20200930.htm,544,112,348,219,72,138,177,Boeing Co,12927,-0.6585365853658537
2020-06-30,https://www.sec.gov/Archives/edgar/data/12927/000001292720000065/a202006jun3010-q.htm,538,101,332,210,60,131,172,Boeing Co,12927,-0.6838810641627543
2020-03-31,https://www.sec.gov/Archives/edgar/data/12927/000001292720000045/a202003mar3110-q.htm,448,95,287,195,63,104,153,Boeing Co,12927,-0.6500920810313076
2019-09-30,https://www.sec.gov/Archives/edgar/data/12927/000001292719000077/a201909sep3010-q.htm,363,107,283,247,49,105,152,Boeing Co,12927,-0.5446808510638298
2019-06-30,https://www.sec.gov/Archives/edgar/data/12927/000001292719000063/a201906jun3010-q.htm,376,111,261,239,40,100,148,Boeing Co,12927,-0.5441478439425051
2019-03-31,https://www.sec.gov/Archives/edgar/data/12927/000001292719000030/a201903mar3110-q.htm,251,102,211,225,30,76,139,Boeing Co,12927,-0.42209631728045327
2018-09-30,https://www.sec.gov/Archives/edgar/data/12927/000001292718000065/a201809sep3010-q.htm,233,149,212,295,29,81,156,Boeing Co,12927,-0.2198952879581152
2018-06-30,https://www.sec.gov/Archives/edgar/data/12927/000001292718000048/a201806jun3010-q.htm,228,150,199,294,33,78,152,Boeing Co,12927,-0.20634920634920634
2018-03-31,https://www.sec.gov/Archives/edgar/data/12927/000001292718000018/a201803mar3110-q.htm,192,140,193,283,31,76,149,Boeing Co,12927,-0.1566265060240964
2017-09-30,https://www.sec.gov/Archives/edgar/data/12927/000001292717000073/a201709sep3010-q.htm,223,107,210,213,31,87,116,Boeing Co,12927,-0.3515151515151515
2017-06-30,https://www.sec.gov/Archives/edgar/data/12927/000001292717000044/a201706jun3010-q.htm,264,103,220,210,31,93,116,Boeing Co,12927,-0.43869209809264303
2017-03-31,https://www.sec.gov/Archives/edgar/data/12927/000001292717000024/a201703mar3110-q.htm,218,108,201,209,33,81,118,Boeing Co,12927,-0.3374233128834356
2016-09-30,https://www.sec.gov/Archives/edgar/data/12927/000001292716000153/a201609sep3010-q.htm,267,118,214,212,24,89,118,Boeing Co,12927,-0.38701298701298703
2016-06-30,https://www.sec.gov/Archives/edgar/data/12927/000001292716000143/a201606jun3010-q.htm,301,125,222,203,24,91,123,Boeing Co,12927,-0.4131455399061033
2016-03-31,https://www.sec.gov/Archives/edgar/data/12927/000001292716000113/a201603mar3110-q.htm,266,118,214,238,26,87,115,Boeing Co,12927,-0.3854166666666667
2015-09-30,https://www.sec.gov/Archives/edgar/data/12927/000001292715000068/a201509sep3010-q.htm,291,128,224,268,26,93,129,Boeing Co,12927,-0.38902147971360385
