date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823023000011/cat-20221231.htm,953,426,804,541,70,315,406,Caterpillar Inc,18230,-0.3821609862218999
2021-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/cat-20211231.htm,917,448,805,509,70,308,376,Caterpillar Inc,18230,-0.3435897435897436
2020-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823021000063/q42020cat10kfinal.pdf,0,0,0,0,0,0,0,Caterpillar Inc,18230,
2019-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823020000056/cat10k2019finalwexhibits.pdf,0,0,0,0,0,0,0,Caterpillar Inc,18230,
2018-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823019000034/finalcat201810kwithexhibits.pdf,0,0,0,0,0,0,0,Caterpillar Inc,18230,
2017-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823018000042/finalcat10k2017withexhibits.pdf,0,0,0,0,0,0,0,Caterpillar Inc,18230,
2016-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823017000041/cat10k2016a01.pdf,0,0,0,0,0,0,0,Caterpillar Inc,18230,
2015-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823016000410/cat10k2015.pdf,0,0,0,0,0,0,0,Caterpillar Inc,18230,
2014-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823015000061/cat_10-kx12312014.htm,437,114,422,284,38,222,163,Caterpillar Inc,18230,-0.5862068965517241
2013-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823014000058/final10k2013pdfwithexhibits.pdf,0,0,0,0,0,0,0,Caterpillar Inc,18230,
2012-12-31,https://www.sec.gov/Archives/edgar/data/18230/000001823013000075/a10kpdfwithexhibits.pdf,0,0,0,0,0,0,0,Caterpillar Inc,18230,
2011-12-31,https://www.sec.gov/Archives/edgar/data/18230/000110465912011331/a12-2184_110k.pdf,0,0,0,0,0,0,0,Caterpillar Inc,18230,
2010-12-31,https://www.sec.gov/Archives/edgar/data/18230/000110465911008938/a18643-1_form10k2010.pdf,0,0,0,0,0,0,0,Caterpillar Inc,18230,
