date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/93410/000009341023000009/cvx-20221231.htm,730,361,660,473,49,247,411,Chevron Corp,93410,-0.3382218148487626
2021-12-31,https://www.sec.gov/Archives/edgar/data/93410/000009341022000019/cvx-20211231.htm,721,369,643,463,48,225,399,Chevron Corp,93410,-0.3229357798165138
2020-12-31,https://www.sec.gov/Archives/edgar/data/93410/000009341021000009/cvx-20201231.htm,784,352,681,448,45,235,411,Chevron Corp,93410,-0.38028169014084506
2019-12-31,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/cvx12312019-10kdoc.htm,744,299,600,502,42,217,387,Chevron Corp,93410,-0.42665388302972196
2018-12-31,https://www.sec.gov/Archives/edgar/data/93410/000009341019000008/cvx12312018-10kdoc.htm,732,324,576,633,53,195,399,Chevron Corp,93410,-0.38636363636363635
2017-12-31,https://www.sec.gov/Archives/edgar/data/93410/000009341018000010/cvx12312017-10kdoc.htm,770,344,580,613,48,198,392,Chevron Corp,93410,-0.38240574506283664
2016-12-31,https://www.sec.gov/Archives/edgar/data/93410/000009341017000013/cvx-123116x10kdoc.htm,768,322,574,634,50,194,381,Chevron Corp,93410,-0.4091743119266055
2015-12-31,https://www.sec.gov/Archives/edgar/data/93410/000009341016000049/cvx-123115x10kdoc.htm,685,300,552,586,42,177,370,Chevron Corp,93410,-0.39086294416243655
2014-12-31,https://www.sec.gov/Archives/edgar/data/93410/000009341015000010/cvx-123114x10kdoc.htm,653,289,569,566,53,181,354,Chevron Corp,93410,-0.386411889596603
2013-12-31,https://www.sec.gov/Archives/edgar/data/93410/000009341014000011/cvx-123113x10kdoc.htm,680,329,567,611,54,182,358,Chevron Corp,93410,-0.3478691774033697
2012-12-31,https://www.sec.gov/Archives/edgar/data/93410/000009341013000003/cvx-123112x10kdoc.htm,627,328,601,565,58,177,372,Chevron Corp,93410,-0.31308900523560207
2011-12-31,https://www.sec.gov/Archives/edgar/data/93410/000095012312002976/f60351e10vk.htm,687,336,668,566,62,200,399,Chevron Corp,93410,-0.34310850439882695
2010-12-31,https://www.sec.gov/Archives/edgar/data/93410/000095012311017688/f56670e10vk.htm,868,399,788,793,91,262,457,Chevron Corp,93410,-0.3701657458563536
2009-12-31,https://www.sec.gov/Archives/edgar/data/93410/000095012310016846/f54086e10vk.htm,671,384,699,617,79,239,402,Chevron Corp,93410,-0.2720379146919431
2008-12-31,https://www.sec.gov/Archives/edgar/data/93410/000089161809000054/f50714e10vk.htm,652,358,688,557,85,217,394,Chevron Corp,93410,-0.29108910891089107
2007-12-31,https://www.sec.gov/Archives/edgar/data/93410/000095013408005470/f37829a1e10vkza.htm,545,365,692,452,93,209,372,Chevron Corp,93410,-0.1978021978021978
2007-12-31,https://www.sec.gov/Archives/edgar/data/93410/000095013408003672/f37829e10vk.htm,544,363,692,448,93,209,372,Chevron Corp,93410,-0.19955898566703417
2006-12-31,https://www.sec.gov/Archives/edgar/data/93410/000095014907000074/f27542e10vk.htm,585,374,720,459,103,220,388,Chevron Corp,93410,-0.22002085505735142
2005-12-31,https://www.sec.gov/Archives/edgar/data/93410/000095014906000076/f16935e10vk.htm,610,356,722,440,126,216,367,Chevron Corp,93410,-0.2629399585921325
2004-12-31,https://www.sec.gov/Archives/edgar/data/93410/000095013405004137/f04196e10vk.htm,593,370,643,442,98,202,363,Chevron Corp,93410,-0.23156801661474558
2003-12-31,https://www.sec.gov/Archives/edgar/data/93410/000095013404003128/f96742e10vk.htm,608,308,539,411,67,158,347,Chevron Corp,93410,-0.32751091703056767
