date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2023-07-29,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/csco-20230729.htm,1093,467,958,547,108,446,471,Cisco Systems Inc,858877,-0.4012820512820513
2022-07-30,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/csco-20220730.htm,1196,477,1048,602,116,483,496,Cisco Systems Inc,858877,-0.42976688583383144
2021-07-31,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/csco-20210731.htm,1167,476,1013,572,118,464,420,Cisco Systems Inc,858877,-0.42057212416311623
2020-07-25,https://www.sec.gov/Archives/edgar/data/858877/000085887720000010/csco-2020725x10k.htm,1271,436,1101,542,129,492,433,Cisco Systems Inc,858877,-0.48916227299355597
2019-07-27,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/csco-2019727x10k.htm,1180,441,1071,544,129,474,454,Cisco Systems Inc,858877,-0.45589142504626773
2018-07-28,https://www.sec.gov/Archives/edgar/data/858877/000085887718000011/csco-2018728x10k.htm,1323,477,1159,560,172,501,439,Cisco Systems Inc,858877,-0.47
2017-07-29,https://www.sec.gov/Archives/edgar/data/858877/000085887717000016/csco-2017729x10k.htm,1340,512,1166,566,164,484,438,Cisco Systems Inc,858877,-0.4470842332613391
2016-07-30,https://www.sec.gov/Archives/edgar/data/858877/000085887716000117/csco-2016730x10k.htm,1343,536,1171,603,159,486,421,Cisco Systems Inc,858877,-0.42948376796168175
2015-07-25,https://www.sec.gov/Archives/edgar/data/858877/000085887715000070/csco-2015725x10k.htm,1226,516,1175,462,143,505,420,Cisco Systems Inc,858877,-0.40757749712973596
2014-07-26,https://www.sec.gov/Archives/edgar/data/858877/000085887714000029/csco-2014726x10k.htm,1249,513,1175,479,149,504,425,Cisco Systems Inc,858877,-0.4177071509648127
2013-07-27,https://www.sec.gov/Archives/edgar/data/858877/000085887713000049/csco-2013727x10k.htm,1358,526,1189,568,165,507,421,Cisco Systems Inc,858877,-0.4416135881104034
2012-07-28,https://www.sec.gov/Archives/edgar/data/858877/000119312512388590/d365054d10k.htm,1229,514,1164,454,145,488,451,Cisco Systems Inc,858877,-0.4102122776821572
2011-07-30,https://www.sec.gov/Archives/edgar/data/858877/000119312511247394/d202951d10k.htm,1239,511,1187,461,142,487,466,Cisco Systems Inc,858877,-0.416
2010-07-31,https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/d10k.htm,540,247,543,207,71,298,146,Cisco Systems Inc,858877,-0.37229987293519695
2009-07-25,https://www.sec.gov/Archives/edgar/data/858877/000119312509190326/d10k.htm,502,234,523,199,70,295,132,Cisco Systems Inc,858877,-0.3641304347826087
2008-07-26,https://www.sec.gov/Archives/edgar/data/858877/000119312508195608/d10k.htm,467,194,470,188,61,272,125,Cisco Systems Inc,858877,-0.4130105900151286
2007-07-28,https://www.sec.gov/Archives/edgar/data/858877/000119312507202552/d10k.htm,448,192,464,194,61,267,124,Cisco Systems Inc,858877,-0.4
2006-07-29,https://www.sec.gov/Archives/edgar/data/858877/000119312506192133/d10k.htm,438,171,450,183,67,257,118,Cisco Systems Inc,858877,-0.43842364532019706
2005-07-30,https://www.sec.gov/Archives/edgar/data/858877/000119312505187168/d10k.htm,435,159,429,196,53,246,106,Cisco Systems Inc,858877,-0.46464646464646464
2004-07-31,https://www.sec.gov/Archives/edgar/data/858877/000119312504158427/d10k.htm,400,146,408,173,52,233,105,Cisco Systems Inc,858877,-0.4652014652014652
2003-07-26,https://www.sec.gov/Archives/edgar/data/858877/000119312503047374/d10k.htm,389,143,403,166,55,232,103,Cisco Systems Inc,858877,-0.462406015037594
