date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134423000011/ko-20221231.htm,1515,721,1165,914,136,540,556,Coca-Cola Co,21344,-0.3550983899821109
2021-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/ko-20211231.htm,1476,759,1205,885,139,553,563,Coca-Cola Co,21344,-0.3208053691275168
2020-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/ko-20201231.htm,1562,838,1200,883,160,548,613,Coca-Cola Co,21344,-0.3016666666666667
2019-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/a2019123110-k.htm,1527,872,1155,788,138,514,597,Coca-Cola Co,21344,-0.27303042934556065
2018-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134419000014/a2018123110-k.htm,1581,811,1177,839,162,489,611,Coca-Cola Co,21344,-0.3219063545150502
2017-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134418000008/a2017123110-k.htm,1487,779,1129,765,189,440,557,Coca-Cola Co,21344,-0.3124448367166814
2016-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134417000009/a2016123110-k.htm,1452,812,1105,891,184,453,555,Coca-Cola Co,21344,-0.2826855123674912
2015-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134416000050/a2015123110-k.htm,1399,816,1085,928,196,422,564,Coca-Cola Co,21344,-0.2632054176072235
2014-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134415000005/a2014123110-k.htm,1255,770,1075,669,182,399,535,Coca-Cola Co,21344,-0.23950617283950618
2013-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134414000008/a2013123110-k.htm,1307,838,1059,710,144,392,539,Coca-Cola Co,21344,-0.21864801864801864
2012-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134413000007/a2012123110-k.htm,1432,945,1135,767,155,397,552,Coca-Cola Co,21344,-0.20488010096760623
2011-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134412000007/a2011123110-k.htm,1361,889,1122,668,159,381,552,Coca-Cola Co,21344,-0.20977777777777779
2010-12-31,https://www.sec.gov/Archives/edgar/data/21344/000104746911001506/a2202147z10-k.htm,1527,809,1396,756,168,370,589,Coca-Cola Co,21344,-0.3073630136986301
2009-12-31,https://www.sec.gov/Archives/edgar/data/21344/000104746910001476/a2195739z10-k.htm,1304,667,1306,642,142,339,574,Coca-Cola Co,21344,-0.32318619989852865
2008-12-31,https://www.sec.gov/Archives/edgar/data/21344/000104746909001875/a2190274z10-k.htm,1298,694,1351,851,121,351,577,Coca-Cola Co,21344,-0.3032128514056225
2007-12-31,https://www.sec.gov/Archives/edgar/data/21344/000119312508041768/d10k.htm,1058,677,1293,843,101,312,484,Coca-Cola Co,21344,-0.2195965417867435
2006-12-31,https://www.sec.gov/Archives/edgar/data/21344/000104746907001328/a2176230z10-k.htm,1051,625,1103,857,101,254,458,Coca-Cola Co,21344,-0.2541766109785203
2005-12-31,https://www.sec.gov/Archives/edgar/data/21344/000104746906002588/a2167326z10-k.htm,982,602,1050,860,98,255,443,Coca-Cola Co,21344,-0.2398989898989899
2004-12-31,https://www.sec.gov/Archives/edgar/data/21344/000104746905005411/a2151637z10-k.htm,735,586,881,637,104,165,373,Coca-Cola Co,21344,-0.11279333838001514
2003-12-31,https://www.sec.gov/Archives/edgar/data/21344/000104746904005840/a2126594z10-k.htm,615,473,784,470,72,115,280,Coca-Cola Co,21344,-0.13051470588235295
2002-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134403000031/kok03.txt,133,69,155,201,11,38,46,Coca-Cola Co,21344,-0.31683168316831684
2001-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134402000013/kok01a.txt,5,1,1,14,2,0,3,Coca-Cola Co,21344,-0.6666666666666666
2001-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134402000011/kok01.txt,88,57,127,156,10,25,34,Coca-Cola Co,21344,-0.21379310344827587
2000-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134401000005/0000021344-01-000005-0001.txt,96,68,132,224,36,26,45,Coca-Cola Co,21344,-0.17073170731707318
1999-12-31,https://www.sec.gov/Archives/edgar/data/21344/000002134400000009/,5,1,1,6,0,0,0,Coca-Cola Co,21344,-0.6666666666666666
1998-12-31,https://www.sec.gov/Archives/edgar/data/21344/,5,1,1,6,0,0,0,Coca-Cola Co,21344,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/21344/,5,1,1,6,0,0,0,Coca-Cola Co,21344,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/21344/,5,1,1,6,0,0,0,Coca-Cola Co,21344,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/21344/,5,1,1,6,0,0,0,Coca-Cola Co,21344,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/21344/,5,1,1,6,0,0,0,Coca-Cola Co,21344,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/21344/,5,1,1,6,0,0,0,Coca-Cola Co,21344,-0.6666666666666666
2023-09-29,https://www.sec.gov/Archives/edgar/data/21344/000002134423000060/ko-20230929.htm,514,273,261,286,44,78,133,Coca-Cola Co,21344,-0.3062261753494282
2023-06-30,https://www.sec.gov/Archives/edgar/data/21344/000002134423000048/ko-20230630.htm,533,263,256,282,42,77,122,Coca-Cola Co,21344,-0.3391959798994975
2023-03-31,https://www.sec.gov/Archives/edgar/data/21344/000002134423000024/ko-20230331.htm,368,184,251,262,42,74,111,Coca-Cola Co,21344,-0.3333333333333333
