date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/29915/000175178823000014/dow-20221231.htm,963,620,704,574,136,228,466,Dow Inc,1751788,-0.21667719519898926
2021-12-31,https://www.sec.gov/Archives/edgar/data/29915/000175178822000011/dow-20211231.htm,1241,724,736,664,140,218,557,Dow Inc,1751788,-0.26310432569974557
2020-12-31,https://www.sec.gov/Archives/edgar/data/29915/000175178821000010/dow-20201231.htm,1433,635,783,683,124,209,630,Dow Inc,1751788,-0.3858800773694391
2019-12-31,https://www.sec.gov/Archives/edgar/data/29915/000175178820000007/dowinc201910k.htm,1298,547,770,638,117,204,643,Dow Inc,1751788,-0.4070460704607046
2023-09-30,https://www.sec.gov/Archives/edgar/data/29915/000175178823000140/dow-20230930.htm,280,126,128,151,24,24,114,Dow Inc,1751788,-0.3793103448275862
2023-06-30,https://www.sec.gov/Archives/edgar/data/29915/000175178823000128/dow-20230630.htm,278,116,129,143,23,27,114,Dow Inc,1751788,-0.41116751269035534
2023-03-31,https://www.sec.gov/Archives/edgar/data/29915/000175178823000116/dow-20230331.htm,292,110,122,126,21,26,112,Dow Inc,1751788,-0.4527363184079602
2022-09-30,https://www.sec.gov/Archives/edgar/data/29915/000175178822000131/dow-20220930.htm,304,149,182,162,29,48,141,Dow Inc,1751788,-0.34216335540838855
2022-06-30,https://www.sec.gov/Archives/edgar/data/29915/000175178822000123/dow-20220630.htm,299,161,187,150,29,52,138,Dow Inc,1751788,-0.3
2022-03-31,https://www.sec.gov/Archives/edgar/data/29915/000175178822000104/dow-20220331.htm,254,122,155,136,29,36,126,Dow Inc,1751788,-0.35106382978723405
2021-09-30,https://www.sec.gov/Archives/edgar/data/29915/000175178821000130/dow-20210930.htm,357,210,167,196,36,29,156,Dow Inc,1751788,-0.25925925925925924
2021-06-30,https://www.sec.gov/Archives/edgar/data/29915/000175178821000123/dow-20210630.htm,329,198,164,194,39,29,156,Dow Inc,1751788,-0.24857685009487665
2021-03-31,https://www.sec.gov/Archives/edgar/data/29915/000175178821000105/dow-20210331.htm,277,177,151,162,46,24,148,Dow Inc,1751788,-0.22026431718061673
2020-09-30,https://www.sec.gov/Archives/edgar/data/29915/000175178820000034/dow-20200930.htm,653,249,229,316,51,49,200,Dow Inc,1751788,-0.44789356984478934
2020-06-30,https://www.sec.gov/Archives/edgar/data/29915/000175178820000024/dow-20200630.htm,578,212,226,244,49,49,182,Dow Inc,1751788,-0.46329113924050636
2020-03-31,https://www.sec.gov/Archives/edgar/data/29915/000175178820000014/dow-20200331.htm,478,158,213,231,49,49,183,Dow Inc,1751788,-0.5031446540880503
2019-09-30,https://www.sec.gov/Archives/edgar/data/29915/000175178819000031/dowinc-q3x9302019.htm,534,231,253,285,67,60,223,Dow Inc,1751788,-0.396078431372549
2019-06-30,https://www.sec.gov/Archives/edgar/data/29915/000175178819000023/dowinc-q2x6302019.htm,501,233,246,248,56,64,198,Dow Inc,1751788,-0.3651226158038147
2019-03-31,https://www.sec.gov/Archives/edgar/data/29915/000175178819000009/dowinc-q1x3312019.htm,274,118,181,205,50,45,155,Dow Inc,1751788,-0.3979591836734694
