date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2023-01-29,https://www.sec.gov/Archives/edgar/data/354950/000035495023000059/hd-20230129.htm,699,339,533,256,52,260,216,Home Depot Inc,354950,-0.3468208092485549
2022-01-30,https://www.sec.gov/Archives/edgar/data/354950/000035495022000070/hd-20220130.htm,692,324,558,255,55,255,229,Home Depot Inc,354950,-0.36220472440944884
2021-01-31,https://www.sec.gov/Archives/edgar/data/354950/000035495021000089/hd-20210131.htm,698,329,578,257,60,239,241,Home Depot Inc,354950,-0.3592989289191821
2020-02-02,https://www.sec.gov/Archives/edgar/data/354950/000035495020000015/hd10k02022020.htm,538,297,449,220,67,217,238,Home Depot Inc,354950,-0.288622754491018
2019-02-03,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/hd_10kx02032019.htm,446,281,390,196,66,175,214,Home Depot Inc,354950,-0.22696011004126548
2018-01-28,https://www.sec.gov/Archives/edgar/data/354950/000035495018000019/hd_10k01282018.htm,405,265,393,205,61,168,181,Home Depot Inc,354950,-0.208955223880597
2017-01-29,https://www.sec.gov/Archives/edgar/data/354950/000035495017000005/hd-01292017x10xk.htm,430,267,413,223,60,173,184,Home Depot Inc,354950,-0.23385939741750358
2016-01-31,https://www.sec.gov/Archives/edgar/data/354950/000035495016000060/hd-1312016x10xk.htm,526,275,444,292,58,186,187,Home Depot Inc,354950,-0.31335830212234705
2015-02-01,https://www.sec.gov/Archives/edgar/data/354950/000035495015000008/hd-212015x10xk.htm,538,250,427,297,71,171,176,Home Depot Inc,354950,-0.36548223350253806
2014-02-02,https://www.sec.gov/Archives/edgar/data/354950/000035495014000008/hd-222014x10xk.htm,317,221,324,143,34,110,153,Home Depot Inc,354950,-0.17843866171003717
2013-02-03,https://www.sec.gov/Archives/edgar/data/354950/000035495013000008/hd-232013x10xk.htm,301,234,305,145,33,103,154,Home Depot Inc,354950,-0.1252336448598131
2012-01-29,https://www.sec.gov/Archives/edgar/data/354950/000035495012000003/hd-1292012x10xk.htm,323,229,327,159,32,103,157,Home Depot Inc,354950,-0.17028985507246377
2011-01-30,https://www.sec.gov/Archives/edgar/data/354950/000119312511076501/d10k.htm,372,196,337,167,29,107,171,Home Depot Inc,354950,-0.30985915492957744
2010-01-31,https://www.sec.gov/Archives/edgar/data/354950/000119312510067178/d10k.htm,402,179,341,177,28,104,175,Home Depot Inc,354950,-0.3838209982788296
2009-02-01,https://www.sec.gov/Archives/edgar/data/354950/000095014409002875/x17422e10vk.htm,428,179,326,198,37,106,144,Home Depot Inc,354950,-0.4102141680395387
2008-02-03,https://www.sec.gov/Archives/edgar/data/354950/000104746908004077/a2183971z10-k.htm,411,179,349,203,38,110,137,Home Depot Inc,354950,-0.39322033898305087
