date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/773840/000077384023000013/hon-20221231.htm,916,486,654,708,76,209,373,Honeywell International Inc,773840,-0.3067047075606277
2021-12-31,https://www.sec.gov/Archives/edgar/data/773840/000077384022000018/hon-20211231.htm,900,450,622,755,75,214,382,Honeywell International Inc,773840,-0.3333333333333333
2020-12-31,https://www.sec.gov/Archives/edgar/data/773840/000077384021000015/hon-20201231.htm,935,416,643,751,81,218,375,Honeywell International Inc,773840,-0.384159881569208
2019-12-31,https://www.sec.gov/Archives/edgar/data/773840/000077384020000009/hon1231201910k.htm,813,358,558,694,74,165,326,Honeywell International Inc,773840,-0.3885567890691716
2018-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041319000366/c92779_10k.htm,770,364,543,658,76,137,316,Honeywell International Inc,773840,-0.35802469135802467
2017-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041318000292/c89913_10k.htm,746,328,535,579,74,136,254,Honeywell International Inc,773840,-0.3891992551210428
2016-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041317000391/c86783_10k.htm,671,302,523,521,60,131,227,Honeywell International Inc,773840,-0.37923946557040084
2015-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041316005457/c83288_10k.htm,614,268,493,495,61,112,195,Honeywell International Inc,773840,-0.3922902494331066
2014-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041315000621/c79276_10k.htm,584,279,482,477,53,121,188,Honeywell International Inc,773840,-0.35341830822711473
2013-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041314000634/c75936_10k.htm,961,434,848,713,86,203,341,Honeywell International Inc,773840,-0.37777777777777777
2012-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041313000907/c72130_10-k.htm,977,434,860,737,103,204,316,Honeywell International Inc,773840,-0.3848334514528703
2011-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/c68029_10k.htm,959,397,833,739,101,202,296,Honeywell International Inc,773840,-0.4144542772861357
2010-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041311000961/c63936_10-k.htm,886,369,808,765,93,190,276,Honeywell International Inc,773840,-0.4119521912350598
2009-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041310000784/c60039_10k.htm,839,335,777,719,87,199,294,Honeywell International Inc,773840,-0.4293015332197615
2008-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041309000801/c56028_10k.htm,884,369,807,737,93,198,289,Honeywell International Inc,773840,-0.41101356743814843
2007-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041308001037/c51271_10k.htm,859,316,787,753,92,189,277,Honeywell International Inc,773840,-0.4621276595744681
2006-12-31,https://www.sec.gov/Archives/edgar/data/773840/000093041307001369/c44492_10k.htm,862,286,735,747,87,168,262,Honeywell International Inc,773840,-0.5017421602787456
2005-12-31,https://www.sec.gov/Archives/edgar/data/773840/000095011706000980/a41243.htm,778,315,660,680,83,151,251,Honeywell International Inc,773840,-0.42360475754803295
2004-12-31,https://www.sec.gov/Archives/edgar/data/773840/000095011705000756/a38747.htm,766,306,586,636,82,127,259,Honeywell International Inc,773840,-0.4291044776119403
2003-12-31,https://www.sec.gov/Archives/edgar/data/773840/000095011704000868/a36887.txt,95,29,104,134,14,37,41,Honeywell International Inc,773840,-0.532258064516129
2002-12-31,https://www.sec.gov/Archives/edgar/data/773840/000095011703000910/a34239.txt,220,28,138,233,31,31,34,Honeywell International Inc,773840,-0.7741935483870968
2001-12-31,https://www.sec.gov/Archives/edgar/data/773840/000095011702000539/a31661.txt,537,202,331,346,60,54,167,Honeywell International Inc,773840,-0.45331529093369416
2000-12-31,https://www.sec.gov/Archives/edgar/data/773840/000095011701000640/0000950117-01-000640-0001.txt,551,194,280,555,46,68,133,Honeywell International Inc,773840,-0.4791946308724832
1999-12-31,https://www.sec.gov/Archives/edgar/data/773840/000095011700001544/0000950117-00-001544-0001.txt,6,2,4,11,3,2,9,Honeywell International Inc,773840,-0.5
1999-12-31,https://www.sec.gov/Archives/edgar/data/773840/000095011700000401/,5,1,1,6,0,0,0,Honeywell International Inc,773840,-0.6666666666666666
1998-12-31,https://www.sec.gov/Archives/edgar/data/773840/,5,1,1,6,0,0,0,Honeywell International Inc,773840,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/773840/,5,1,1,6,0,0,0,Honeywell International Inc,773840,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/773840/,5,1,1,6,0,0,0,Honeywell International Inc,773840,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/773840/,5,1,1,6,0,0,0,Honeywell International Inc,773840,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/773840/,5,1,1,6,0,0,0,Honeywell International Inc,773840,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/773840/,5,1,1,6,0,0,0,Honeywell International Inc,773840,-0.6666666666666666
2023-09-30,https://www.sec.gov/Archives/edgar/data/773840/000077384023000085/hon-20230930.htm,197,124,136,197,26,32,103,Honeywell International Inc,773840,-0.22741433021806853
2023-06-30,https://www.sec.gov/Archives/edgar/data/773840/000077384023000073/hon-20230630.htm,203,120,127,203,17,32,106,Honeywell International Inc,773840,-0.25696594427244585
2023-03-31,https://www.sec.gov/Archives/edgar/data/773840/000077384023000038/hon-20230331.htm,177,108,107,196,17,27,98,Honeywell International Inc,773840,-0.24210526315789474
2022-09-30,https://www.sec.gov/Archives/edgar/data/773840/000077384022000071/hon-20220930.htm,373,175,167,303,22,51,129,Honeywell International Inc,773840,-0.3613138686131387
2022-06-30,https://www.sec.gov/Archives/edgar/data/773840/000077384022000054/hon-20220630.htm,360,166,160,291,22,52,128,Honeywell International Inc,773840,-0.3688212927756654
2022-03-31,https://www.sec.gov/Archives/edgar/data/773840/000077384022000037/hon-20220331.htm,314,124,140,275,17,43,124,Honeywell International Inc,773840,-0.4337899543378995
2021-09-30,https://www.sec.gov/Archives/edgar/data/773840/000077384021000065/hon-20210930.htm,269,161,133,269,20,32,111,Honeywell International Inc,773840,-0.25116279069767444
2021-06-30,https://www.sec.gov/Archives/edgar/data/773840/000077384021000057/hon-20210630.htm,255,160,118,270,19,23,96,Honeywell International Inc,773840,-0.2289156626506024
2021-03-31,https://www.sec.gov/Archives/edgar/data/773840/000077384021000032/hon-20210331.htm,278,126,129,295,25,33,104,Honeywell International Inc,773840,-0.37623762376237624
2020-09-30,https://www.sec.gov/Archives/edgar/data/773840/000077384020000048/hon-20200930.htm,485,156,221,398,53,84,159,Honeywell International Inc,773840,-0.5132605304212169
