date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/intc-20221231.htm,1431,764,835,469,156,360,446,Intel Corp,50863,-0.303872437357631
2021-12-25,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/intc-20211225.htm,1527,693,781,674,162,337,383,Intel Corp,50863,-0.37567567567567567
2020-12-26,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/intc-20201226.htm,1376,708,751,547,129,325,333,Intel Corp,50863,-0.32053742802303264
2019-12-28,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/a12282019q410kdocumentcourte.pdf,0,0,0,0,0,0,0,Intel Corp,50863,
2018-12-29,https://www.sec.gov/Archives/edgar/data/50863/000005086319000007/a12292018q4-10kdocument.htm,1031,662,776,453,92,391,326,Intel Corp,50863,-0.21795629060838748
2017-12-30,https://www.sec.gov/Archives/edgar/data/50863/000005086318000007/a12302017q4-10kdocument.htm,877,423,739,442,80,348,285,Intel Corp,50863,-0.34923076923076923
2016-12-31,https://www.sec.gov/Archives/edgar/data/50863/000005086317000012/a10kdocument12312016q4.htm,902,451,786,480,96,371,335,Intel Corp,50863,-0.3333333333333333
2015-12-26,https://www.sec.gov/Archives/edgar/data/50863/000005086316000105/a10kdocument12262015q4.htm,1132,554,868,554,138,344,398,Intel Corp,50863,-0.3428232502965599
2014-12-27,https://www.sec.gov/Archives/edgar/data/50863/000005086315000015/a10kdocument12272014.htm,1075,516,823,543,114,336,410,Intel Corp,50863,-0.35135135135135137
2013-12-28,https://www.sec.gov/Archives/edgar/data/50863/000005086314000020/a10kdocument12282013.htm,1009,486,795,477,103,342,382,Intel Corp,50863,-0.34983277591973244
2012-12-29,https://www.sec.gov/Archives/edgar/data/50863/000119312513065416/d424446d10k.htm,919,454,796,423,92,327,372,Intel Corp,50863,-0.33867443554260745
2011-12-31,https://www.sec.gov/Archives/edgar/data/50863/000119312512075534/d302695d10k.htm,1011,453,803,469,91,324,384,Intel Corp,50863,-0.38114754098360654
2010-12-25,https://www.sec.gov/Archives/edgar/data/50863/000095012311015783/f56033e10vk.htm,1188,551,848,550,110,337,466,Intel Corp,50863,-0.3663024726854514
2009-12-26,https://www.sec.gov/Archives/edgar/data/50863/000095012310015237/f54119e10vk.htm,1209,517,819,538,96,332,470,Intel Corp,50863,-0.40092699884125144
2008-12-27,https://www.sec.gov/Archives/edgar/data/50863/000089161809000047/f50771e10vk.htm,1288,516,930,505,98,342,485,Intel Corp,50863,-0.4279379157427938
2007-12-29,https://www.sec.gov/Archives/edgar/data/50863/000089161808000106/f36442e10vk.htm,928,466,743,371,93,301,365,Intel Corp,50863,-0.3314203730272597
2006-12-30,https://www.sec.gov/Archives/edgar/data/50863/000089161807000111/f23627e10vk.htm,917,478,751,411,95,283,347,Intel Corp,50863,-0.3146953405017921
2005-12-31,https://www.sec.gov/Archives/edgar/data/50863/000089161806000089/f12963e10vk.htm,727,426,722,354,120,281,307,Intel Corp,50863,-0.2610581092801388
2004-12-25,https://www.sec.gov/Archives/edgar/data/50863/000119312505033162/d10k.htm,617,409,618,321,103,197,297,Intel Corp,50863,-0.20272904483430798
2003-12-27,https://www.sec.gov/Archives/edgar/data/50863/000119312504028053/d10ka.htm,298,150,247,182,15,38,117,Intel Corp,50863,-0.33035714285714285
2003-12-27,https://www.sec.gov/Archives/edgar/data/50863/000119312504027430/d10k.htm,744,431,649,422,107,190,307,Intel Corp,50863,-0.2663829787234043
2002-12-28,https://www.sec.gov/Archives/edgar/data/50863/000104746903008257/a2104280z10-k.htm,672,317,543,330,91,151,234,Intel Corp,50863,-0.358948432760364
2001-12-29,https://www.sec.gov/Archives/edgar/data/50863/000091205702009698/a2072777z10-k.htm,150,84,105,129,34,38,44,Intel Corp,50863,-0.28205128205128205
2000-12-30,https://www.sec.gov/Archives/edgar/data/50863/000091205701503434/a2040883z10-k.htm,93,79,90,91,22,36,30,Intel Corp,50863,-0.08139534883720931
1999-12-25,https://www.sec.gov/Archives/edgar/data/50863/000101287000001562/,5,1,1,6,0,0,0,Intel Corp,50863,-0.6666666666666666
1998-12-26,https://www.sec.gov/Archives/edgar/data/50863/,5,1,1,6,0,0,0,Intel Corp,50863,-0.6666666666666666
1997-12-27,https://www.sec.gov/Archives/edgar/data/50863/,5,1,1,6,0,0,0,Intel Corp,50863,-0.6666666666666666
1996-12-28,https://www.sec.gov/Archives/edgar/data/50863/,5,1,1,6,0,0,0,Intel Corp,50863,-0.6666666666666666
1995-12-30,https://www.sec.gov/Archives/edgar/data/50863/,5,1,1,6,0,0,0,Intel Corp,50863,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/50863/,5,1,1,6,0,0,0,Intel Corp,50863,-0.6666666666666666
1993-12-25,https://www.sec.gov/Archives/edgar/data/50863/,5,1,1,6,0,0,0,Intel Corp,50863,-0.6666666666666666
2023-09-30,https://www.sec.gov/Archives/edgar/data/50863/000005086323000103/intc-20230930.htm,456,125,172,208,27,56,90,Intel Corp,50863,-0.5697074010327022
2023-07-01,https://www.sec.gov/Archives/edgar/data/50863/000005086323000069/intc-20230701.htm,440,127,174,182,28,55,88,Intel Corp,50863,-0.5520282186948854
2023-04-01,https://www.sec.gov/Archives/edgar/data/50863/000005086323000028/intc-20230401.htm,412,109,176,176,31,50,80,Intel Corp,50863,-0.581573896353167
2022-10-01,https://www.sec.gov/Archives/edgar/data/50863/000005086322000038/intc-20221001.htm,517,141,183,316,35,51,83,Intel Corp,50863,-0.5714285714285714
2022-07-02,https://www.sec.gov/Archives/edgar/data/50863/000005086322000030/intc-20220702.htm,622,131,183,426,22,52,77,Intel Corp,50863,-0.6520584329349269
2022-04-02,https://www.sec.gov/Archives/edgar/data/50863/000005086322000020/intc-20220402.htm,620,134,194,443,22,55,72,Intel Corp,50863,-0.6445623342175066
2021-09-25,https://www.sec.gov/Archives/edgar/data/50863/000005086321000038/intc-20210925.htm,524,121,177,385,32,56,62,Intel Corp,50863,-0.6248062015503876
2021-06-26,https://www.sec.gov/Archives/edgar/data/50863/000005086321000030/intc-20210626.htm,490,111,154,351,27,46,62,Intel Corp,50863,-0.6306156405990017
2021-03-27,https://www.sec.gov/Archives/edgar/data/50863/000005086321000018/intc-20210327.htm,471,83,146,341,25,41,51,Intel Corp,50863,-0.7003610108303249
2020-09-26,https://www.sec.gov/Archives/edgar/data/50863/000005086320000043/intc-20200926.htm,403,95,162,258,33,54,57,Intel Corp,50863,-0.6184738955823293
2020-06-27,https://www.sec.gov/Archives/edgar/data/50863/000005086320000026/intc-20200627.htm,371,114,157,247,18,53,61,Intel Corp,50863,-0.5298969072164949
2020-03-28,https://www.sec.gov/Archives/edgar/data/50863/000005086320000017/a0328202010qdocument-u.htm,435,112,259,192,33,102,98,Intel Corp,50863,-0.5904936014625228
2019-09-28,https://www.sec.gov/Archives/edgar/data/50863/000005086319000029/a0928201910qdocument.htm,252,95,132,191,16,37,61,Intel Corp,50863,-0.45244956772334294
2019-06-29,https://www.sec.gov/Archives/edgar/data/50863/000005086319000023/a0629201910qdocument.htm,329,89,174,220,18,64,78,Intel Corp,50863,-0.5741626794258373
2019-03-30,https://www.sec.gov/Archives/edgar/data/50863/000005086319000013/a0330201910qdocument.htm,227,76,118,202,21,37,52,Intel Corp,50863,-0.49834983498349833
2018-09-29,https://www.sec.gov/Archives/edgar/data/50863/000005086318000029/a0929201810qdocument.htm,339,152,171,249,16,42,88,Intel Corp,50863,-0.38085539714867617
2018-06-30,https://www.sec.gov/Archives/edgar/data/50863/000005086318000022/a0630201810qdocument.htm,401,150,198,243,20,67,81,Intel Corp,50863,-0.455535390199637
2018-03-31,https://www.sec.gov/Archives/edgar/data/50863/000005086318000013/a0331201810qdocument.htm,299,115,155,226,16,44,73,Intel Corp,50863,-0.4444444444444444
2017-09-30,https://www.sec.gov/Archives/edgar/data/50863/000005086317000048/a2017q3-10qdocument.htm,286,98,166,183,23,50,72,Intel Corp,50863,-0.4895833333333333
2017-07-01,https://www.sec.gov/Archives/edgar/data/50863/000005086317000041/new10qdocument07012017.htm,292,83,160,173,20,57,62,Intel Corp,50863,-0.5573333333333333
