date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm,258,104,232,221,24,126,78,International Business Machines Corp,51143,-0.425414364640884
2021-12-31,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm,259,100,234,224,25,127,83,International Business Machines Corp,51143,-0.4428969359331476
2020-12-31,https://www.sec.gov/Archives/edgar/data/51143/000155837021001489/ibm-20201231x10k.htm,258,104,237,227,28,131,70,International Business Machines Corp,51143,-0.425414364640884
2019-12-31,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/ibm-20191231x10k2af531.htm,244,167,235,227,30,130,79,International Business Machines Corp,51143,-0.1873479318734793
2018-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/a2237254z10-k.htm,219,174,215,241,30,116,62,International Business Machines Corp,51143,-0.11450381679389313
2017-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746918001117/a2233835z10-k.htm,228,167,213,245,30,113,59,International Business Machines Corp,51143,-0.15443037974683543
2016-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746917001061/a2230222z10-k.htm,214,171,207,227,28,112,50,International Business Machines Corp,51143,-0.11168831168831168
2015-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746916010329/a2226548z10-k.htm,211,197,210,220,34,108,50,International Business Machines Corp,51143,-0.03431372549019608
2014-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746915001106/a2222209z10-k.htm,205,228,207,203,36,106,50,International Business Machines Corp,51143,0.053117782909930716
2013-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746914001302/a2217495z10-k.htm,180,232,203,172,28,98,48,International Business Machines Corp,51143,0.1262135922330097
2012-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746913001698/a2212340z10-k.htm,164,221,187,156,29,97,49,International Business Machines Corp,51143,0.14805194805194805
2011-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746912001742/a2206744z10-k.htm,159,192,187,143,21,94,46,International Business Machines Corp,51143,0.09401709401709402
2010-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746911001117/a2201254z10-k.htm,148,164,185,144,21,93,43,International Business Machines Corp,51143,0.05128205128205128
2009-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746910001151/a2195966z10-k.htm,140,158,168,142,20,82,40,International Business Machines Corp,51143,0.06040268456375839
2008-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746909001737/a2189817z10-k.htm,126,150,148,131,15,73,34,International Business Machines Corp,51143,0.08695652173913043
2007-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746908001731/a2181836z10-k.htm,128,176,156,208,18,67,50,International Business Machines Corp,51143,0.15789473684210525
2006-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746907001434/a2175501z10-k.htm,125,165,142,192,25,54,43,International Business Machines Corp,51143,0.13793103448275862
2005-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746906002608/a2166922z10-k.htm,109,145,128,174,17,46,40,International Business Machines Corp,51143,0.14173228346456693
2004-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746905004595/a2152314z10-k.htm,83,117,79,131,17,34,31,International Business Machines Corp,51143,0.17
2003-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746904006934/a2129092z10-k.htm,69,110,95,113,19,37,22,International Business Machines Corp,51143,0.22905027932960895
2002-12-31,https://www.sec.gov/Archives/edgar/data/51143/000104746903008194/a2102367z10-k.htm,55,31,63,116,12,33,16,International Business Machines Corp,51143,-0.27906976744186046
2001-12-31,https://www.sec.gov/Archives/edgar/data/51143/000091205702009402/a2071411z10-k405.txt,33,29,52,98,11,23,15,International Business Machines Corp,51143,-0.06451612903225806
2000-12-31,https://www.sec.gov/Archives/edgar/data/51143/000091205701007563/a2039641z10-k.txt,34,30,52,97,11,23,15,International Business Machines Corp,51143,-0.0625
1999-12-31,https://www.sec.gov/Archives/edgar/data/51143/000091205700011206/,5,1,1,6,0,0,0,International Business Machines Corp,51143,-0.6666666666666666
1998-12-31,https://www.sec.gov/Archives/edgar/data/51143/,5,1,1,6,0,0,0,International Business Machines Corp,51143,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/51143/,5,1,1,6,0,0,0,International Business Machines Corp,51143,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/51143/,5,1,1,6,0,0,0,International Business Machines Corp,51143,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/51143/,5,1,1,6,0,0,0,International Business Machines Corp,51143,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/51143/,5,1,1,6,0,0,0,International Business Machines Corp,51143,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/51143/,5,1,1,6,0,0,0,International Business Machines Corp,51143,-0.6666666666666666
2023-09-30,https://www.sec.gov/Archives/edgar/data/51143/000005114323000032/ibm-20230930.htm,456,230,305,224,25,63,143,International Business Machines Corp,51143,-0.3294460641399417
2023-06-30,https://www.sec.gov/Archives/edgar/data/51143/000005114323000021/ibm-20230630.htm,420,200,292,186,25,65,132,International Business Machines Corp,51143,-0.3548387096774194
2023-03-31,https://www.sec.gov/Archives/edgar/data/51143/000155837023006656/ibm-20230331x10q.htm,330,169,264,177,24,61,123,International Business Machines Corp,51143,-0.3226452905811623
2022-09-30,https://www.sec.gov/Archives/edgar/data/51143/000155837022015322/ibm-20220930x10q.htm,534,258,350,291,40,78,172,International Business Machines Corp,51143,-0.3484848484848485
2022-06-30,https://www.sec.gov/Archives/edgar/data/51143/000155837022010985/ibm-20220630x10q.htm,439,187,320,211,38,74,133,International Business Machines Corp,51143,-0.402555910543131
2022-03-31,https://www.sec.gov/Archives/edgar/data/51143/000155837022005983/ibm-20220331x10q.htm,354,186,282,192,35,64,129,International Business Machines Corp,51143,-0.3111111111111111
2021-09-30,https://www.sec.gov/Archives/edgar/data/51143/000155837021014734/ibm-20210930x10q.htm,451,235,298,218,52,69,142,International Business Machines Corp,51143,-0.31486880466472306
2021-06-30,https://www.sec.gov/Archives/edgar/data/51143/000155837021009351/ibm-20210630x10q.htm,436,240,299,209,46,70,138,International Business Machines Corp,51143,-0.28994082840236685
2021-03-31,https://www.sec.gov/Archives/edgar/data/51143/000155837021004922/ibm-20210331x10q.htm,365,217,274,206,46,67,125,International Business Machines Corp,51143,-0.2542955326460481
2020-09-30,https://www.sec.gov/Archives/edgar/data/51143/000155837020011799/ibm-20200930x10q.htm,530,269,306,214,53,68,140,International Business Machines Corp,51143,-0.32665832290362956
2020-06-30,https://www.sec.gov/Archives/edgar/data/51143/000155837020008516/ibm-20200630x10q.htm,506,227,320,208,31,74,140,International Business Machines Corp,51143,-0.3806275579809004
2020-03-31,https://www.sec.gov/Archives/edgar/data/51143/000155837020004491/ibm-20200331x10q.htm,431,183,309,199,32,72,138,International Business Machines Corp,51143,-0.40390879478827363
2019-09-30,https://www.sec.gov/Archives/edgar/data/51143/000155837019009324/ibm-20190930x10q.htm,509,240,359,256,43,78,176,International Business Machines Corp,51143,-0.3591455273698264
2019-06-30,https://www.sec.gov/Archives/edgar/data/51143/000155837019006560/ibm-20190630x10q.htm,497,226,327,248,43,77,184,International Business Machines Corp,51143,-0.3748271092669433
2019-03-31,https://www.sec.gov/Archives/edgar/data/51143/000110465919025328/a19-6867_110q.htm,442,201,349,248,44,74,191,International Business Machines Corp,51143,-0.374805598755832
2018-09-30,https://www.sec.gov/Archives/edgar/data/51143/000110465918064673/a18-19046_110q.htm,474,325,365,343,46,93,215,International Business Machines Corp,51143,-0.18648310387984982
2018-06-30,https://www.sec.gov/Archives/edgar/data/51143/000110465918048404/a18-14112_110q.htm,464,316,364,332,35,94,197,International Business Machines Corp,51143,-0.18974358974358974
2018-03-31,https://www.sec.gov/Archives/edgar/data/51143/000110465918026178/a18-8695_110q.htm,397,254,339,317,33,90,186,International Business Machines Corp,51143,-0.2196620583717358
2017-09-30,https://www.sec.gov/Archives/edgar/data/51143/000110465917064968/a17-21131_110q.htm,527,256,343,281,40,85,148,International Business Machines Corp,51143,-0.34610472541507026
2017-06-30,https://www.sec.gov/Archives/edgar/data/51143/000110465917046808/a17-13367_110q.htm,516,260,323,262,41,83,141,International Business Machines Corp,51143,-0.32989690721649484
2017-03-31,https://www.sec.gov/Archives/edgar/data/51143/000110465917025881/a17-8917_110q.htm,460,198,325,242,40,76,141,International Business Machines Corp,51143,-0.3981762917933131
2016-09-30,https://www.sec.gov/Archives/edgar/data/51143/000110465916151931/a16-17246_110q.htm,543,274,340,281,47,77,153,International Business Machines Corp,51143,-0.3292533659730722
2016-06-30,https://www.sec.gov/Archives/edgar/data/51143/000110465916134367/a16-12780_110q.htm,563,285,342,273,50,80,150,International Business Machines Corp,51143,-0.3278301886792453
2016-03-31,https://www.sec.gov/Archives/edgar/data/51143/000005114316000013/ibm16q1_10q.htm,484,232,331,257,55,78,142,International Business Machines Corp,51143,-0.35195530726256985
2015-09-30,https://www.sec.gov/Archives/edgar/data/51143/000005114315000009/ibm15q3_10q.htm,703,283,355,287,45,82,148,International Business Machines Corp,51143,-0.4259634888438134
2015-06-30,https://www.sec.gov/Archives/edgar/data/51143/000005114315000005/ibm15q2_10q.htm,687,274,355,289,49,83,147,International Business Machines Corp,51143,-0.4297606659729448
2015-03-31,https://www.sec.gov/Archives/edgar/data/51143/000005114315000003/ibm15q1_10q.htm,558,241,338,266,47,79,145,International Business Machines Corp,51143,-0.3967459324155194
2014-09-30,https://www.sec.gov/Archives/edgar/data/51143/000005114314000010/ibm14q3_10q.htm,680,245,360,278,84,81,147,International Business Machines Corp,51143,-0.4702702702702703
2014-06-30,https://www.sec.gov/Archives/edgar/data/51143/000005114314000007/ibm14q2_10q.htm,542,278,355,276,70,81,135,International Business Machines Corp,51143,-0.32195121951219513
2014-04-29,https://www.sec.gov/Archives/edgar/data/51143/000005114314000004/ibm14q1_10q.htm,496,214,334,264,62,76,130,International Business Machines Corp,51143,-0.3971830985915493
