date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2023-01-01,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/jnj-20230101.htm,1781,493,812,1464,80,299,254,Johnson & Johnson,200406,-0.5664028144239226
2022-01-02,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/jnj-20220102.htm,1719,522,788,1421,92,266,244,Johnson & Johnson,200406,-0.5341365461847389
2021-01-03,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/jnj-20210103.htm,1681,482,756,1342,78,243,213,Johnson & Johnson,200406,-0.5543226999537679
2019-12-29,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/form10-k20191229.htm,1624,465,714,1374,85,226,215,Johnson & Johnson,200406,-0.5548109143130685
2018-12-30,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/form10-k20181230.htm,1280,481,619,1076,87,190,204,Johnson & Johnson,200406,-0.45371947756956277
2017-12-31,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/form10-k20171231.htm,1135,424,576,925,80,172,177,Johnson & Johnson,200406,-0.45606157793457347
2017-01-01,https://www.sec.gov/Archives/edgar/data/200406/000020040617000006/form10-k20170101.htm,1216,440,587,943,91,180,208,Johnson & Johnson,200406,-0.46859903381642515
2016-01-03,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/form10-k20160103.htm,1079,372,470,947,74,125,180,Johnson & Johnson,200406,-0.487250172294969
2014-12-28,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/a2014122810-k.htm,59,37,46,137,16,18,36,Johnson & Johnson,200406,-0.22916666666666666
2013-12-29,https://www.sec.gov/Archives/edgar/data/200406/000020040614000033/a2013122910-k.htm,47,33,39,117,12,17,32,Johnson & Johnson,200406,-0.175
2012-12-30,https://www.sec.gov/Archives/edgar/data/200406/000020040613000038/a2012123010-k.htm,49,28,40,117,12,15,32,Johnson & Johnson,200406,-0.2727272727272727
2012-01-01,https://www.sec.gov/Archives/edgar/data/200406/000119312512075565/d281803d10k.htm,56,29,44,119,11,16,31,Johnson & Johnson,200406,-0.3176470588235294
2011-01-02,https://www.sec.gov/Archives/edgar/data/200406/000095012311018128/y86310ke10vk.htm,45,28,43,112,10,14,29,Johnson & Johnson,200406,-0.2328767123287671
2010-01-03,https://www.sec.gov/Archives/edgar/data/200406/000095012310019392/y80744e10vk.htm,46,29,44,113,10,16,27,Johnson & Johnson,200406,-0.22666666666666666
2008-12-28,https://www.sec.gov/Archives/edgar/data/200406/000095012309003187/y74152e10vk.htm,44,32,45,114,10,16,25,Johnson & Johnson,200406,-0.15789473684210525
