date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/63908/000006390823000012/mcd1231202210k.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2021-12-31,https://www.sec.gov/Archives/edgar/data/63908/000006390822000011/mcd1231202110k.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2020-12-31,https://www.sec.gov/Archives/edgar/data/63908/000006390821000013/mcd1231202010k.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2019-12-31,https://www.sec.gov/Archives/edgar/data/63908/000006390820000022/mcd-1231201910k.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2018-12-31,https://www.sec.gov/Archives/edgar/data/63908/000006390819000010/mcd-1231201810k.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2017-12-31,https://www.sec.gov/Archives/edgar/data/63908/000006390818000010/mcd1231201710k.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2016-12-31,https://www.sec.gov/Archives/edgar/data/63908/000006390817000017/mcd1231201610k.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2015-12-31,https://www.sec.gov/Archives/edgar/data/63908/000006390816000103/mcd1231201510k.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2014-12-31,https://www.sec.gov/Archives/edgar/data/63908/000006390815000016/mcd1231201410k.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2013-12-31,https://www.sec.gov/Archives/edgar/data/63908/000006390814000019/mcd1231201310k.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2012-12-31,https://www.sec.gov/Archives/edgar/data/63908/000006390813000010/mcd1231201210k.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2011-12-31,https://www.sec.gov/Archives/edgar/data/63908/000119312512077317/d260574d10k1.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2010-12-31,https://www.sec.gov/Archives/edgar/data/63908/000119312511046701/d10k1.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2009-12-31,https://www.sec.gov/Archives/edgar/data/63908/000119312510042025/d10k1.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2008-12-31,https://www.sec.gov/Archives/edgar/data/63908/000119312509037008/d10k1.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2007-12-31,https://www.sec.gov/Archives/edgar/data/63908/000119312508037220/d10k1.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2006-12-31,https://www.sec.gov/Archives/edgar/data/63908/000119312507039707/d10k1.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2005-12-31,https://www.sec.gov/Archives/edgar/data/63908/000119312506039862/d10k1.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2004-12-31,https://www.sec.gov/Archives/edgar/data/63908/000119312505042609/d10k1.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2003-12-31,https://www.sec.gov/Archives/edgar/data/63908/000119312504035282/d10k.htm,294,218,170,153,37,28,153,McDonald's Corp,63908,-0.1484375
2002-12-31,https://www.sec.gov/Archives/edgar/data/63908/000104746903008450/a2105107z10-k.htm,349,171,179,167,42,39,158,McDonald's Corp,63908,-0.3423076923076923
2001-12-31,https://www.sec.gov/Archives/edgar/data/63908/000095013102001095/d10k405.txt,252,163,154,156,39,27,126,McDonald's Corp,63908,-0.21445783132530122
2000-12-31,https://www.sec.gov/Archives/edgar/data/63908/000095013101500282/d10k405.htm,129,116,109,108,24,17,54,McDonald's Corp,63908,-0.053061224489795916
1999-12-31,https://www.sec.gov/Archives/edgar/data/63908/000095013100002087/,5,1,1,6,0,0,0,McDonald's Corp,63908,-0.6666666666666666
1998-12-31,https://www.sec.gov/Archives/edgar/data/63908/,5,1,1,6,0,0,0,McDonald's Corp,63908,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/63908/,5,1,1,6,0,0,0,McDonald's Corp,63908,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/63908/,5,1,1,6,0,0,0,McDonald's Corp,63908,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/63908/,5,1,1,6,0,0,0,McDonald's Corp,63908,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/63908/,5,1,1,6,0,0,0,McDonald's Corp,63908,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/63908/,5,1,1,6,0,0,0,McDonald's Corp,63908,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/63908/,5,1,1,6,0,0,0,McDonald's Corp,63908,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/63908/,5,1,1,6,0,0,0,McDonald's Corp,63908,-0.6666666666666666
2023-09-30,https://www.sec.gov/Archives/edgar/data/63908/000006390823000101/mcd930202310q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2023-06-30,https://www.sec.gov/Archives/edgar/data/63908/000006390823000076/mcd630202310qa.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2023-03-31,https://www.sec.gov/Archives/edgar/data/63908/000006390823000036/mcd331202310q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2022-09-30,https://www.sec.gov/Archives/edgar/data/63908/000006390822000055/mcd0930202210q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2022-06-30,https://www.sec.gov/Archives/edgar/data/63908/000006390822000041/mcd0630202210q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2022-03-31,https://www.sec.gov/Archives/edgar/data/63908/000006390822000016/mcd0331202210q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2021-09-30,https://www.sec.gov/Archives/edgar/data/63908/000006390821000039/mcd0930202110q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2021-06-30,https://www.sec.gov/Archives/edgar/data/63908/000006390821000030/mcd0630202110q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2021-03-31,https://www.sec.gov/Archives/edgar/data/63908/000006390821000018/mcd0331202110q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2020-09-30,https://www.sec.gov/Archives/edgar/data/63908/000006390820000076/mcd930202010q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2020-06-30,https://www.sec.gov/Archives/edgar/data/63908/000006390820000063/mcd-630202010q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2020-03-31,https://www.sec.gov/Archives/edgar/data/63908/000006390820000042/mcd-331202010q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2019-09-30,https://www.sec.gov/Archives/edgar/data/63908/000006390819000085/mcd-930201910q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2019-06-30,https://www.sec.gov/Archives/edgar/data/63908/000006390819000062/mcd630201910q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2019-03-31,https://www.sec.gov/Archives/edgar/data/63908/000006390819000039/mcd-0331201910q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2018-09-30,https://www.sec.gov/Archives/edgar/data/63908/000006390818000064/mcd-0930201810q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2018-06-30,https://www.sec.gov/Archives/edgar/data/63908/000006390818000049/mcd-0630201810q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2018-03-31,https://www.sec.gov/Archives/edgar/data/63908/000006390818000025/mcd-331201810q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2017-09-30,https://www.sec.gov/Archives/edgar/data/63908/000006390817000053/mcd-930201710q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2017-06-30,https://www.sec.gov/Archives/edgar/data/63908/000006390817000039/mcd-630201710q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2017-03-31,https://www.sec.gov/Archives/edgar/data/63908/000006390817000025/mcd-331201710q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2016-09-30,https://www.sec.gov/Archives/edgar/data/63908/000006390816000161/mcd-930201610q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2016-06-30,https://www.sec.gov/Archives/edgar/data/63908/000006390816000142/mcd-630201610q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2016-03-31,https://www.sec.gov/Archives/edgar/data/63908/000006390816000121/mcd-331201610q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2015-09-30,https://www.sec.gov/Archives/edgar/data/63908/000006390815000081/mcd-930201510q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
2015-06-30,https://www.sec.gov/Archives/edgar/data/63908/000006390815000065/mcd-630201510q.pdf,0,0,0,0,0,0,0,McDonald's Corp,63908,
