date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/310158/000162828023005061/mrk-20221231.htm,1404,800,1213,835,231,429,427,Merck & Co Inc,310158,-0.27404718693284935
2021-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015822000003/mrk-20211231.htm,1503,785,1199,903,217,422,428,Merck & Co Inc,310158,-0.3138111888111888
2020-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015821000004/mrk-20201231.htm,1378,776,1162,822,253,401,402,Merck & Co Inc,310158,-0.27948003714020425
2019-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015820000005/mrk1231201910k.htm,1230,701,1056,745,215,354,371,Merck & Co Inc,310158,-0.2739513205592957
2018-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/mrk1231201810k.htm,1392,776,1063,843,205,342,401,Merck & Co Inc,310158,-0.28413284132841327
2017-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015818000005/mrk1231201710k.htm,1448,718,1100,893,256,352,384,Merck & Co Inc,310158,-0.33702677746999077
2016-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015817000010/mrk1231201610k.htm,1542,676,1072,899,221,334,392,Merck & Co Inc,310158,-0.3904418394950406
2015-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015816000063/mrk1231201510k.htm,1764,728,1151,1073,230,363,379,Merck & Co Inc,310158,-0.4157303370786517
2014-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015815000005/mrk1231201410k.htm,1746,709,1180,985,246,381,368,Merck & Co Inc,310158,-0.42240325865580447
2013-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015814000009/mrk1231201310k.htm,1788,704,1163,1126,244,399,379,Merck & Co Inc,310158,-0.434991974317817
2012-12-31,https://www.sec.gov/Archives/edgar/data/310158/000119312513084618/d438975d10k.htm,1850,754,1181,1223,238,376,415,Merck & Co Inc,310158,-0.42089093701996927
2011-12-31,https://www.sec.gov/Archives/edgar/data/310158/000119312512084319/d274705d10k.htm,1837,790,1237,1313,234,396,422,Merck & Co Inc,310158,-0.3985534830605253
2010-12-31,https://www.sec.gov/Archives/edgar/data/310158/000095012311019286/y87773e10vk.htm,1913,835,1302,1407,301,410,447,Merck & Co Inc,310158,-0.3922852983988355
2009-12-31,https://www.sec.gov/Archives/edgar/data/310158/000095012310018679/y81622e10vk.htm,3165,978,1515,2786,327,502,526,Merck & Co Inc,310158,-0.5278783490224475
2008-12-31,https://www.sec.gov/Archives/edgar/data/310158/000095012309003694/y74771e10vk.htm,1134,546,825,815,108,282,312,Merck & Co Inc,310158,-0.35
2007-12-31,https://www.sec.gov/Archives/edgar/data/310158/000095012308002423/y50144a1e10vkza.htm,1080,508,785,802,115,270,304,Merck & Co Inc,310158,-0.3602015113350126
2007-12-31,https://www.sec.gov/Archives/edgar/data/310158/000095012308002339/y50144e10vk.htm,1057,507,780,783,115,269,304,Merck & Co Inc,310158,-0.3516624040920716
2006-12-31,https://www.sec.gov/Archives/edgar/data/310158/000095012307002869/y30437e10vk.htm,944,406,590,748,109,232,252,Merck & Co Inc,310158,-0.3985185185185185
2005-12-31,https://www.sec.gov/Archives/edgar/data/310158/000095012306002367/y17883e10vk.htm,987,363,609,782,101,248,276,Merck & Co Inc,310158,-0.4622222222222222
2004-12-31,https://www.sec.gov/Archives/edgar/data/310158/000095012305003861/y07264e10vkza.htm,35,25,25,101,4,6,9,Merck & Co Inc,310158,-0.16666666666666666
2004-12-31,https://www.sec.gov/Archives/edgar/data/310158/000095012305002785/y05567e10vk.htm,1075,292,505,838,111,219,236,Merck & Co Inc,310158,-0.5727871250914411
2003-12-31,https://www.sec.gov/Archives/edgar/data/310158/000095012304005617/y96428e10vkza.htm,4,1,0,14,2,0,4,Merck & Co Inc,310158,-0.6
2003-12-31,https://www.sec.gov/Archives/edgar/data/310158/000095012304002379/y94582e10vk.htm,1321,272,538,1164,99,254,224,Merck & Co Inc,310158,-0.6585059635907093
2002-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015803000008/tenkdoc.htm,394,56,162,440,34,85,46,Merck & Co Inc,310158,-0.7511111111111111
2001-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015802000002/body.htm,397,46,149,424,43,60,42,Merck & Co Inc,310158,-0.7923250564334086
2000-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015801500003/final10k.htm,210,32,121,263,24,57,41,Merck & Co Inc,310158,-0.7355371900826446
1999-12-31,https://www.sec.gov/Archives/edgar/data/310158/000031015800000001/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1998-12-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
2023-09-30,https://www.sec.gov/Archives/edgar/data/310158/000162828023036717/mrk-20230930.htm,460,252,279,294,76,68,76,Merck & Co Inc,310158,-0.29213483146067415
2023-06-30,https://www.sec.gov/Archives/edgar/data/310158/000162828023027770/mrk-20230630.htm,473,218,256,274,47,69,57,Merck & Co Inc,310158,-0.36903039073806077
2023-03-31,https://www.sec.gov/Archives/edgar/data/310158/000162828023015990/mrk-20230331.htm,440,213,257,305,54,64,58,Merck & Co Inc,310158,-0.34762633996937214
2022-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015822000034/mrk-20220930.htm,530,263,305,355,61,77,82,Merck & Co Inc,310158,-0.33669609079445145
2022-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015822000030/mrk-20220630.htm,512,232,289,382,64,80,72,Merck & Co Inc,310158,-0.3763440860215054
2022-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015822000011/mrk-20220331.htm,483,201,270,384,53,68,62,Merck & Co Inc,310158,-0.41228070175438597
2021-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015821000032/mrk-20210930.htm,534,256,313,379,93,68,71,Merck & Co Inc,310158,-0.3518987341772152
2021-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015821000028/mrk-20210630.htm,507,217,291,326,78,72,56,Merck & Co Inc,310158,-0.4005524861878453
2021-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015821000009/mrk-20210331.htm,463,212,292,315,94,70,55,Merck & Co Inc,310158,-0.3718518518518519
2020-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015820000030/mrk-20200930.htm,542,260,352,317,79,79,79,Merck & Co Inc,310158,-0.3516209476309227
2020-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015820000026/mrk0630202010q.htm,507,223,329,287,63,81,63,Merck & Co Inc,310158,-0.38904109589041097
2020-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015820000009/mrk0331202010q.htm,460,186,291,278,73,74,54,Merck & Co Inc,310158,-0.4241486068111455
2019-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015819000042/mrk0930201910q.htm,448,206,269,274,59,60,67,Merck & Co Inc,310158,-0.37003058103975534
2019-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015819000037/mrk0630201910q.htm,435,190,257,273,60,60,62,Merck & Co Inc,310158,-0.392
2019-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015819000019/mrk0331201910q.htm,452,182,247,311,58,57,61,Merck & Co Inc,310158,-0.42586750788643535
2018-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015818000039/mrk0930201810q.htm,497,273,307,325,71,68,110,Merck & Co Inc,310158,-0.2909090909090909
2018-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015818000034/mrk0630201810q.htm,469,238,297,396,70,59,94,Merck & Co Inc,310158,-0.32673267326732675
2018-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015818000011/mrk0331201810q.htm,475,211,285,401,78,56,92,Merck & Co Inc,310158,-0.3848396501457726
2017-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015817000045/mrk0930201710q.htm,545,231,329,368,97,73,119,Merck & Co Inc,310158,-0.40463917525773196
2017-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015817000037/mrk0630201710q.htm,608,177,326,439,90,86,111,Merck & Co Inc,310158,-0.5490445859872611
2017-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015817000016/mrk0331201710q.htm,507,144,287,375,58,71,99,Merck & Co Inc,310158,-0.5576036866359447
2016-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015816000098/mrk0930201610q.htm,679,218,368,501,72,86,102,Merck & Co Inc,310158,-0.5139353400222966
2016-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015816000094/mrk0630201610q.htm,650,202,335,469,80,89,94,Merck & Co Inc,310158,-0.5258215962441315
2016-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015816000066/mrk0331201610q.htm,664,156,334,517,74,89,85,Merck & Co Inc,310158,-0.6195121951219512
2015-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015815000058/mrk0930201510q.htm,802,244,396,470,81,94,80,Merck & Co Inc,310158,-0.5334608030592735
2015-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015815000053/mrk0630201510q.htm,815,224,375,513,91,87,73,Merck & Co Inc,310158,-0.5688161693936478
2015-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015815000008/mrk0331201510q.htm,688,186,350,449,71,77,68,Merck & Co Inc,310158,-0.5743707093821511
2014-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015814000071/mrk0930201410q.htm,859,238,418,489,99,90,91,Merck & Co Inc,310158,-0.5660893345487694
2014-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015814000063/mrk0630201410q.htm,766,229,398,439,99,103,78,Merck & Co Inc,310158,-0.5396984924623116
2014-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015814000033/mrk0331201410q.htm,699,188,356,415,103,97,58,Merck & Co Inc,310158,-0.5760992108229989
2013-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015813000011/mrk0930201310q.htm,915,179,387,618,83,103,87,Merck & Co Inc,310158,-0.6727605118829981
2013-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015813000004/mrk0630201310q.htm,844,170,392,618,81,113,91,Merck & Co Inc,310158,-0.6646942800788954
2013-03-31,https://www.sec.gov/Archives/edgar/data/310158/000119312513211374/d508920d10q.htm,820,164,344,585,79,92,77,Merck & Co Inc,310158,-0.6666666666666666
2012-09-30,https://www.sec.gov/Archives/edgar/data/310158/000119312512463586/d400394d10q.htm,884,221,366,623,88,87,97,Merck & Co Inc,310158,-0.6
2012-06-30,https://www.sec.gov/Archives/edgar/data/310158/000119312512341189/d351112d10q.htm,908,197,375,696,86,89,90,Merck & Co Inc,310158,-0.6434389140271494
2012-03-31,https://www.sec.gov/Archives/edgar/data/310158/000119312512216683/d318209d10q.htm,857,166,350,675,82,90,84,Merck & Co Inc,310158,-0.6754643206256109
2011-09-30,https://www.sec.gov/Archives/edgar/data/310158/000095012311096564/y92563e10vq.htm,942,238,388,755,76,104,89,Merck & Co Inc,310158,-0.5966101694915255
2011-06-30,https://www.sec.gov/Archives/edgar/data/310158/000095012311074096/y91416e10vq.htm,871,224,375,673,73,105,80,Merck & Co Inc,310158,-0.5908675799086758
2011-03-31,https://www.sec.gov/Archives/edgar/data/310158/000095012311047041/y90523e10vq.htm,699,171,326,537,95,79,79,Merck & Co Inc,310158,-0.6068965517241379
2010-09-30,https://www.sec.gov/Archives/edgar/data/310158/000095012310102135/y86670e10vq.htm,719,205,329,557,104,82,102,Merck & Co Inc,310158,-0.5562770562770563
2010-06-30,https://www.sec.gov/Archives/edgar/data/310158/000095012310074336/y83714e10vq.htm,1001,201,359,930,102,79,112,Merck & Co Inc,310158,-0.6655574043261231
2010-03-31,https://www.sec.gov/Archives/edgar/data/310158/000095012310045997/y84066e10vq.htm,1777,203,497,1945,109,134,125,Merck & Co Inc,310158,-0.794949494949495
2009-09-30,https://www.sec.gov/Archives/edgar/data/310158/000095012309054872/y79731e10vq.htm,644,207,415,536,56,186,154,Merck & Co Inc,310158,-0.5135135135135135
2009-06-30,https://www.sec.gov/Archives/edgar/data/310158/000095012309025362/y78281e10vq.htm,673,195,433,533,61,194,145,Merck & Co Inc,310158,-0.5506912442396313
2009-03-31,https://www.sec.gov/Archives/edgar/data/310158/000095012309007740/y76789e10vq.htm,624,178,407,450,55,176,120,Merck & Co Inc,310158,-0.5561097256857855
2008-09-30,https://www.sec.gov/Archives/edgar/data/310158/000095012308013650/y72131e10vq.htm,597,223,445,372,58,177,115,Merck & Co Inc,310158,-0.4560975609756098
2008-06-30,https://www.sec.gov/Archives/edgar/data/310158/000095012308008715/y64396e10vq.htm,563,200,419,359,55,172,108,Merck & Co Inc,310158,-0.47575360419397117
2008-03-31,https://www.sec.gov/Archives/edgar/data/310158/000095012308005202/y57255e10vq.htm,522,204,395,352,50,169,103,Merck & Co Inc,310158,-0.4380165289256198
2007-09-30,https://www.sec.gov/Archives/edgar/data/310158/000095012307014306/y41280e10vq.htm,454,175,363,340,54,145,146,Merck & Co Inc,310158,-0.4435612082670906
2007-06-30,https://www.sec.gov/Archives/edgar/data/310158/000095012307010384/y37453e10vq.htm,451,173,331,368,49,140,103,Merck & Co Inc,310158,-0.44551282051282054
2007-03-31,https://www.sec.gov/Archives/edgar/data/310158/000095012307006129/y33954e10vq.htm,436,160,326,367,50,149,106,Merck & Co Inc,310158,-0.46308724832214765
2006-09-30,https://www.sec.gov/Archives/edgar/data/310158/000095012306013091/y25965e10vq.htm,358,125,211,345,69,72,86,Merck & Co Inc,310158,-0.4824016563146998
2006-06-30,https://www.sec.gov/Archives/edgar/data/310158/000095012306009584/y21847e10vq.htm,496,134,322,379,65,153,100,Merck & Co Inc,310158,-0.5746031746031746
2006-03-31,https://www.sec.gov/Archives/edgar/data/310158/000095012306005259/y20167e10vq.htm,296,95,199,268,43,84,79,Merck & Co Inc,310158,-0.5140664961636828
2005-09-30,https://www.sec.gov/Archives/edgar/data/310158/000095012305012753/y13971e10vq.txt,565,155,281,429,53,137,117,Merck & Co Inc,310158,-0.5694444444444444
2005-06-30,https://www.sec.gov/Archives/edgar/data/310158/000095012305008997/y11136e10vq.txt,580,137,251,405,55,132,108,Merck & Co Inc,310158,-0.6178521617852162
2005-03-31,https://www.sec.gov/Archives/edgar/data/310158/000095012305004990/y08100e10vq.txt,540,127,266,400,49,134,111,Merck & Co Inc,310158,-0.6191904047976012
2004-09-30,https://www.sec.gov/Archives/edgar/data/310158/000095012304012647/y67941e10vq.txt,745,137,291,574,89,155,131,Merck & Co Inc,310158,-0.6893424036281179
2004-06-30,https://www.sec.gov/Archives/edgar/data/310158/000095012304009184/y99638e10vq.txt,775,141,309,609,94,166,125,Merck & Co Inc,310158,-0.6921397379912664
2004-03-31,https://www.sec.gov/Archives/edgar/data/310158/000095012304005315/y96677e10vq.htm,835,129,321,671,60,171,106,Merck & Co Inc,310158,-0.7323651452282157
2003-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015803000108/formtenq.htm,704,94,258,601,39,135,78,Merck & Co Inc,310158,-0.7644110275689223
2003-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015803000051/tenqform.htm,524,82,211,491,36,113,57,Merck & Co Inc,310158,-0.7293729372937293
2003-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015803000011/tenqbodyhtml.htm,526,74,204,499,47,105,54,Merck & Co Inc,310158,-0.7533333333333333
2002-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015802000012/septq.htm,613,41,205,537,78,79,40,Merck & Co Inc,310158,-0.8746177370030581
2002-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015802000008/tenqbody.htm,654,34,183,637,75,71,37,Merck & Co Inc,310158,-0.9011627906976745
2002-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015802000003/mar02qbody.htm,504,24,150,414,48,54,31,Merck & Co Inc,310158,-0.9090909090909091
2001-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015801500011/body3q01.htm,356,37,146,329,43,54,40,Merck & Co Inc,310158,-0.811704834605598
2001-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015801500010/finalqbody.htm,301,32,116,268,37,44,37,Merck & Co Inc,310158,-0.8078078078078078
2001-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015801500006/qfinalbody.htm,274,23,109,252,18,41,26,Merck & Co Inc,310158,-0.8451178451178452
2000-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015800000012/0000310158-00-000012-0001.htm,2,0,0,3,0,0,3,Merck & Co Inc,310158,-1.0
2000-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015800500003/final3q.htm,161,13,83,148,15,32,26,Merck & Co Inc,310158,-0.8505747126436781
2000-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015800000008/0000310158-00-000008-0001.htm,132,13,59,128,10,21,17,Merck & Co Inc,310158,-0.8206896551724138
2000-03-31,https://www.sec.gov/Archives/edgar/data/310158/000031015800000004/0000310158-00-000004-d1.html,135,13,61,128,12,22,18,Merck & Co Inc,310158,-0.8243243243243243
1999-09-30,https://www.sec.gov/Archives/edgar/data/310158/000031015899000019/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1999-06-30,https://www.sec.gov/Archives/edgar/data/310158/000031015899000015/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1999-03-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1998-09-30,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1998-06-30,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1998-03-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1997-09-30,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1997-06-30,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1997-03-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1996-09-30,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1996-06-30,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1996-03-31,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
1995-09-30,https://www.sec.gov/Archives/edgar/data/310158/,5,1,1,6,0,0,0,Merck & Co Inc,310158,-0.6666666666666666
