date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2023-06-30,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,789,432,674,426,65,406,306,Microsoft Corp,789019,-0.29238329238329236
2022-06-30,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,763,477,677,445,72,403,305,Microsoft Corp,789019,-0.2306451612903226
2021-06-30,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,784,465,695,463,67,409,313,Microsoft Corp,789019,-0.255404323458767
2020-06-30,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,763,406,691,436,69,394,295,Microsoft Corp,789019,-0.30538922155688625
2019-06-30,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm,756,406,631,438,57,361,279,Microsoft Corp,789019,-0.30120481927710846
2018-06-30,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/msft-10k_20180630.htm,802,408,620,472,75,349,302,Microsoft Corp,789019,-0.3256198347107438
2017-06-30,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/msft-10k_20170630.htm,809,406,619,422,85,297,291,Microsoft Corp,789019,-0.33168724279835393
2016-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/d187868d10k.htm,855,386,635,415,90,289,305,Microsoft Corp,789019,-0.37792103142626915
2015-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/d918813d10k.htm,804,356,593,447,71,276,269,Microsoft Corp,789019,-0.38620689655172413
2014-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/d722626d10k.htm,717,354,594,449,83,286,246,Microsoft Corp,789019,-0.3389355742296919
2013-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/d527745d10k.htm,678,341,576,403,88,271,268,Microsoft Corp,789019,-0.3307163886162905
2012-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/d347676d10k.htm,642,339,593,394,86,273,262,Microsoft Corp,789019,-0.308868501529052
2011-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/d10k.htm,536,338,552,388,94,244,197,Microsoft Corp,789019,-0.22654462242562928
2010-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/d10k.htm,557,319,508,370,89,214,209,Microsoft Corp,789019,-0.271689497716895
2009-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/d10k.htm,602,339,533,325,115,211,236,Microsoft Corp,789019,-0.27948990435706694
2008-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312508162768/d10k.htm,534,301,504,295,92,185,192,Microsoft Corp,789019,-0.27904191616766466
2007-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312507170817/d10k.htm,545,273,498,317,63,180,202,Microsoft Corp,789019,-0.33251833740831294
2006-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312506180008/d10k.htm,647,318,532,413,106,185,208,Microsoft Corp,789019,-0.34093264248704663
2005-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312505174825/d10k.htm,674,363,524,425,100,191,192,Microsoft Corp,789019,-0.29990356798457085
2004-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312504150689/d10k.htm,537,317,424,341,91,113,166,Microsoft Corp,789019,-0.2576112412177986
2003-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312503045632/d10k.htm,439,194,345,280,59,82,145,Microsoft Corp,789019,-0.38704581358609796
2002-06-30,https://www.sec.gov/Archives/edgar/data/789019/000103221002001351/d10k.htm,348,214,226,190,41,48,94,Microsoft Corp,789019,-0.23843416370106763
2001-06-30,https://www.sec.gov/Archives/edgar/data/789019/000103221001501099/d10k.txt,257,204,180,221,48,52,79,Microsoft Corp,789019,-0.11496746203904555
2000-06-30,https://www.sec.gov/Archives/edgar/data/789019/000103221000001961/0001032210-00-001961-0001.txt,28,94,34,63,17,13,16,Microsoft Corp,789019,0.5409836065573771
1999-06-30,https://www.sec.gov/Archives/edgar/data/789019/000103221099001375/,5,1,1,6,0,0,0,Microsoft Corp,789019,-0.6666666666666666
1998-06-30,https://www.sec.gov/Archives/edgar/data/789019/,5,1,1,6,0,0,0,Microsoft Corp,789019,-0.6666666666666666
