date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2023-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,1009,382,1148,440,76,639,312,Nike Inc,320187,-0.4507548526240115
2022-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,1056,406,1230,486,92,671,338,Nike Inc,320187,-0.44459644322845415
2021-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm,1022,403,1211,443,85,660,325,Nike Inc,320187,-0.4343859649122807
2020-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm,1085,363,1201,449,89,672,329,Nike Inc,320187,-0.4986187845303867
2019-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/nke-531201910k.htm,815,330,1065,411,74,587,299,Nike Inc,320187,-0.42358078602620086
2018-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/nke-5312018x10k.htm,825,371,1109,402,83,589,269,Nike Inc,320187,-0.3795986622073579
2017-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/nke-5312017x10k.htm,829,380,1146,378,98,594,269,Nike Inc,320187,-0.37138130686517784
2016-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/nke-5312016x10k.htm,818,390,1152,361,81,596,273,Nike Inc,320187,-0.3543046357615894
2015-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/nke-5312015x10k.htm,847,374,1156,345,77,607,274,Nike Inc,320187,-0.38738738738738737
2014-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/nke-5312014x10k.htm,808,355,1112,333,69,593,256,Nike Inc,320187,-0.3895098882201204
2013-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/nke-5312013x10k.htm,802,361,1043,317,91,549,268,Nike Inc,320187,-0.3791917454858126
2012-05-31,https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/d341264d10k.htm,728,371,1013,319,90,503,281,Nike Inc,320187,-0.3248407643312102
2011-05-31,https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/d10k.htm,689,348,926,296,80,463,260,Nike Inc,320187,-0.32883317261330763
2010-05-31,https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/d10k.htm,705,374,970,311,78,469,275,Nike Inc,320187,-0.30676552363299353
2009-05-31,https://www.sec.gov/Archives/edgar/data/320187/000119312509155951/d10k.htm,678,367,952,277,84,452,255,Nike Inc,320187,-0.2976076555023923
2008-05-31,https://www.sec.gov/Archives/edgar/data/320187/000119312508159004/d10k.htm,504,301,790,246,70,418,200,Nike Inc,320187,-0.25217391304347825
2007-05-31,https://www.sec.gov/Archives/edgar/data/320187/000119312507164166/d10k.htm,483,251,729,251,65,387,207,Nike Inc,320187,-0.31607629427792916
2006-05-31,https://www.sec.gov/Archives/edgar/data/320187/000119312506156152/d10k.htm,454,220,700,245,70,366,196,Nike Inc,320187,-0.34718100890207715
2005-05-31,https://www.sec.gov/Archives/edgar/data/320187/000095012405004551/v10583e10vk.htm,321,207,562,189,55,264,179,Nike Inc,320187,-0.2159090909090909
2004-05-31,https://www.sec.gov/Archives/edgar/data/320187/000119312504128270/d10k.htm,301,203,567,164,61,261,172,Nike Inc,320187,-0.19444444444444445
2003-05-31,https://www.sec.gov/Archives/edgar/data/320187/000119312503031022/d10k.htm,387,196,548,282,75,245,205,Nike Inc,320187,-0.3276157804459691
2002-05-31,https://www.sec.gov/Archives/edgar/data/320187/000089102002001248/v83383ore10vk.htm,334,142,502,239,91,227,176,Nike Inc,320187,-0.40336134453781514
2001-05-31,https://www.sec.gov/Archives/edgar/data/320187/000109581101503828/v74223e10-k.txt,222,104,371,139,63,182,96,Nike Inc,320187,-0.3619631901840491
2000-05-31,https://www.sec.gov/Archives/edgar/data/320187/000091205700039514/a10-k405.txt,243,105,350,111,55,173,94,Nike Inc,320187,-0.39655172413793105
1999-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018799000010/,5,1,1,6,0,0,0,Nike Inc,320187,-0.6666666666666666
1998-05-31,https://www.sec.gov/Archives/edgar/data/320187/,5,1,1,6,0,0,0,Nike Inc,320187,-0.6666666666666666
1998-05-31,https://www.sec.gov/Archives/edgar/data/320187/,5,1,1,6,0,0,0,Nike Inc,320187,-0.6666666666666666
1997-05-31,https://www.sec.gov/Archives/edgar/data/320187/,5,1,1,6,0,0,0,Nike Inc,320187,-0.6666666666666666
1996-05-31,https://www.sec.gov/Archives/edgar/data/320187/,5,1,1,6,0,0,0,Nike Inc,320187,-0.6666666666666666
1996-05-31,https://www.sec.gov/Archives/edgar/data/320187/,5,1,1,6,0,0,0,Nike Inc,320187,-0.6666666666666666
1995-09-25,https://www.sec.gov/Archives/edgar/data/320187/,5,1,1,6,0,0,0,Nike Inc,320187,-0.6666666666666666
1995-05-31,https://www.sec.gov/Archives/edgar/data/320187/,5,1,1,6,0,0,0,Nike Inc,320187,-0.6666666666666666
2023-08-31,https://www.sec.gov/Archives/edgar/data/320187/000032018723000052/nke-20230831.htm,199,108,212,63,17,58,52,Nike Inc,320187,-0.2964169381107492
2023-02-28,https://www.sec.gov/Archives/edgar/data/320187/000032018723000013/nke-20230228.htm,280,163,276,70,22,74,54,Nike Inc,320187,-0.26410835214446954
2022-11-30,https://www.sec.gov/Archives/edgar/data/320187/000032018723000003/nke-20221130.htm,279,164,266,63,23,72,49,Nike Inc,320187,-0.2595936794582393
2022-08-31,https://www.sec.gov/Archives/edgar/data/320187/000032018722000058/nke-20220831.htm,232,129,240,61,21,69,49,Nike Inc,320187,-0.2853185595567867
2022-02-28,https://www.sec.gov/Archives/edgar/data/320187/000032018722000017/nke-20220228.htm,276,176,273,65,19,81,76,Nike Inc,320187,-0.22123893805309736
2021-11-30,https://www.sec.gov/Archives/edgar/data/320187/000032018722000004/nke-20211130.htm,293,171,266,57,23,72,61,Nike Inc,320187,-0.2629310344827586
2021-08-31,https://www.sec.gov/Archives/edgar/data/320187/000032018721000045/nke-20210831.htm,209,123,230,51,24,67,56,Nike Inc,320187,-0.25903614457831325
2021-02-28,https://www.sec.gov/Archives/edgar/data/320187/000032018721000012/nke-20210228.htm,316,173,274,53,27,79,58,Nike Inc,320187,-0.29243353783231085
2020-11-30,https://www.sec.gov/Archives/edgar/data/320187/000032018721000003/nke-20201130.htm,294,161,275,52,31,82,51,Nike Inc,320187,-0.2923076923076923
2020-08-31,https://www.sec.gov/Archives/edgar/data/320187/000032018720000061/nke-20200831.htm,222,127,241,58,31,78,50,Nike Inc,320187,-0.2722063037249284
2020-02-29,https://www.sec.gov/Archives/edgar/data/320187/000032018720000018/nke-229202010q.htm,331,160,334,66,29,107,90,Nike Inc,320187,-0.34826883910386963
2019-11-30,https://www.sec.gov/Archives/edgar/data/320187/000032018720000004/nke-1130201910q.htm,226,128,264,57,17,78,54,Nike Inc,320187,-0.2768361581920904
2019-08-31,https://www.sec.gov/Archives/edgar/data/320187/000032018719000071/nke-831201910q.htm,179,108,231,52,16,73,52,Nike Inc,320187,-0.24738675958188153
2019-02-28,https://www.sec.gov/Archives/edgar/data/320187/000032018719000030/nke-02282019x10q.htm,275,164,336,105,25,85,70,Nike Inc,320187,-0.2528473804100228
