date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2023-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042423000073/pg-20230630.htm,627,418,625,262,54,242,240,Procter & Gamble Co,80424,-0.2
2022-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042422000064/pg-20220630.htm,670,449,688,269,56,253,254,Procter & Gamble Co,80424,-0.19749776586237713
2021-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/pg-20210630.htm,670,446,665,262,58,245,266,Procter & Gamble Co,80424,-0.2007168458781362
2020-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042420000059/pg-20200630.htm,676,417,671,243,51,232,285,Procter & Gamble Co,80424,-0.23696248856358645
2020-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042420000053/pg-20200630.htm,675,417,670,235,51,232,284,Procter & Gamble Co,80424,-0.23626373626373626
2019-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042419000050/fy181910-kreport.htm,644,382,639,239,55,195,290,Procter & Gamble Co,80424,-0.2553606237816764
2018-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042418000055/fy171810-kreport.htm,667,436,584,233,58,198,233,Procter & Gamble Co,80424,-0.20942883046237534
2017-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042417000047/fy161710-kreport.htm,705,418,556,215,53,191,248,Procter & Gamble Co,80424,-0.25556544968833483
2016-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042416000212/fy151610-kreport.htm,700,386,556,218,60,191,221,Procter & Gamble Co,80424,-0.289134438305709
2015-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042415000070/fy141510-kreport.htm,678,406,569,224,81,181,249,Procter & Gamble Co,80424,-0.25092250922509224
2014-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042414000057/fy201410kannualreport.htm,606,421,578,228,71,174,238,Procter & Gamble Co,80424,-0.1801363193768257
2013-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042413000063/fy201310kannualreport.htm,619,401,552,226,68,167,250,Procter & Gamble Co,80424,-0.21372549019607842
2012-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042412000063/fy2012financialstatementsf.htm,622,410,561,273,75,167,254,Procter & Gamble Co,80424,-0.2054263565891473
2011-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042411000014/fy1110k.htm,131,79,140,104,17,78,50,Procter & Gamble Co,80424,-0.24761904761904763
2010-06-30,https://www.sec.gov/Archives/edgar/data/80424/000119312510188769/d10k.htm,135,78,134,111,19,76,50,Procter & Gamble Co,80424,-0.2676056338028169
2009-06-30,https://www.sec.gov/Archives/edgar/data/80424/000119312509175986/d10k.htm,127,70,112,112,14,57,41,Procter & Gamble Co,80424,-0.2893401015228426
2008-06-30,https://www.sec.gov/Archives/edgar/data/80424/000095015208007680/l32996be10vkza.htm,6,1,3,13,2,3,7,Procter & Gamble Co,80424,-0.7142857142857143
2008-06-30,https://www.sec.gov/Archives/edgar/data/80424/000095015208006832/l32996ae10vk.htm,95,74,120,107,17,65,46,Procter & Gamble Co,80424,-0.1242603550295858
2007-06-30,https://www.sec.gov/Archives/edgar/data/80424/000095015207007152/l27490ae10vk.htm,69,78,117,87,28,62,42,Procter & Gamble Co,80424,0.061224489795918366
2006-06-30,https://www.sec.gov/Archives/edgar/data/80424/000095015206007291/l21828ae10vk.htm,37,52,98,73,18,49,31,Procter & Gamble Co,80424,0.16853932584269662
2005-06-30,https://www.sec.gov/Archives/edgar/data/80424/000095015205007351/l15436ae10vk.htm,26,49,83,54,11,42,28,Procter & Gamble Co,80424,0.30666666666666664
2004-06-30,https://www.sec.gov/Archives/edgar/data/80424/000095015204006777/l09389ae10vk.htm,21,40,78,58,9,40,27,Procter & Gamble Co,80424,0.3114754098360656
2003-06-30,https://www.sec.gov/Archives/edgar/data/80424/000095015203008195/l02788ae10vk.htm,18,26,55,56,3,31,22,Procter & Gamble Co,80424,0.18181818181818182
2002-06-30,https://www.sec.gov/Archives/edgar/data/80424/000095015202006968/l96166ae10vk.htm,19,28,53,48,6,34,22,Procter & Gamble Co,80424,0.19148936170212766
2001-06-30,https://www.sec.gov/Archives/edgar/data/80424/000095015201504449/l90238ae10-k.htm,18,26,38,47,5,22,20,Procter & Gamble Co,80424,0.18181818181818182
2000-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042400000040/0000080424-00-000040-0001.txt,13,25,40,58,5,22,20,Procter & Gamble Co,80424,0.3157894736842105
1999-06-30,https://www.sec.gov/Archives/edgar/data/80424/000008042499000027/,5,1,1,6,0,0,0,Procter & Gamble Co,80424,-0.6666666666666666
1998-06-30,https://www.sec.gov/Archives/edgar/data/80424/,5,1,1,6,0,0,0,Procter & Gamble Co,80424,-0.6666666666666666
1997-06-30,https://www.sec.gov/Archives/edgar/data/80424/,5,1,1,6,0,0,0,Procter & Gamble Co,80424,-0.6666666666666666
1996-06-30,https://www.sec.gov/Archives/edgar/data/80424/,5,1,1,6,0,0,0,Procter & Gamble Co,80424,-0.6666666666666666
1995-06-30,https://www.sec.gov/Archives/edgar/data/80424/,5,1,1,6,0,0,0,Procter & Gamble Co,80424,-0.6666666666666666
1994-06-30,https://www.sec.gov/Archives/edgar/data/80424/,5,1,1,6,0,0,0,Procter & Gamble Co,80424,-0.6666666666666666
2023-09-30,https://www.sec.gov/Archives/edgar/data/80424/000008042423000103/pg-20230930.htm,178,137,158,69,10,51,45,Procter & Gamble Co,80424,-0.13015873015873017
2023-03-31,https://www.sec.gov/Archives/edgar/data/80424/000008042423000046/pg-20230331.htm,276,187,160,65,9,55,47,Procter & Gamble Co,80424,-0.19222462203023757
2022-12-31,https://www.sec.gov/Archives/edgar/data/80424/000008042423000014/pg-20221231.htm,291,181,158,66,9,53,46,Procter & Gamble Co,80424,-0.2330508474576271
2022-09-30,https://www.sec.gov/Archives/edgar/data/80424/000008042422000102/pg-20220930.htm,191,134,151,64,10,47,48,Procter & Gamble Co,80424,-0.1753846153846154
2022-03-31,https://www.sec.gov/Archives/edgar/data/80424/000008042422000035/pg-20220331.htm,294,224,217,72,19,75,59,Procter & Gamble Co,80424,-0.13513513513513514
2021-12-31,https://www.sec.gov/Archives/edgar/data/80424/000008042422000016/pg-20211231.htm,273,216,191,70,16,62,59,Procter & Gamble Co,80424,-0.1165644171779141
