date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2023-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852423000011/crm-20230131.htm,1207,496,1158,662,71,639,475,Salesforce Inc,1108524,-0.4174985320023488
2022-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000013/crm-20220131.htm,1187,511,1214,687,86,635,463,Salesforce Inc,1108524,-0.39811542991755006
2021-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000008/crm-20210131.htm,1266,531,1306,675,94,690,474,Salesforce Inc,1108524,-0.4090150250417362
2020-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852420000014/crm-20200131.htm,970,449,1042,577,75,540,424,Salesforce Inc,1108524,-0.3671599718111346
2019-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852419000009/crmq4fy1910-k.htm,914,469,1006,594,93,535,428,Salesforce Inc,1108524,-0.32176428054953
2018-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852418000011/crmq4fy1810-k.htm,940,482,998,567,130,517,385,Salesforce Inc,1108524,-0.32208157524613223
2017-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852417000006/crm-2017131x10k.htm,912,461,981,492,130,486,391,Salesforce Inc,1108524,-0.32847778587035686
2016-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852416000053/crm-2016131x10k.htm,899,461,862,492,120,456,346,Salesforce Inc,1108524,-0.3220588235294118
2015-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852415000008/crm-2015131x10k.htm,806,395,847,444,125,431,316,Salesforce Inc,1108524,-0.34221482098251454
2014-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000119312514084762/d648028d10k.htm,803,368,814,420,119,405,311,Salesforce Inc,1108524,-0.37147736976942786
2013-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000119312513098852/d466584d10k.htm,743,364,753,385,106,339,239,Salesforce Inc,1108524,-0.34236675700090335
2012-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000119312512107281/d279348d10k.htm,646,400,733,364,105,325,231,Salesforce Inc,1108524,-0.23518164435946462
2011-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000119312511173291/d10ka.htm,6,2,6,36,2,3,12,Salesforce Inc,1108524,-0.5
2011-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000119312511075314/d10k.htm,624,354,674,347,116,346,221,Salesforce Inc,1108524,-0.27607361963190186
2010-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000119312510053838/d10k.htm,670,316,612,365,104,354,245,Salesforce Inc,1108524,-0.359026369168357
2009-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000119312509048665/d10k.htm,658,351,606,291,89,315,248,Salesforce Inc,1108524,-0.30426164519326065
2008-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000119312508043828/d10k.htm,610,346,559,274,90,299,236,Salesforce Inc,1108524,-0.27615062761506276
2007-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000119312507051045/d10k.htm,741,350,578,319,101,301,253,Salesforce Inc,1108524,-0.35838680109990834
2006-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000119312506055150/d10k.htm,834,320,570,382,100,295,246,Salesforce Inc,1108524,-0.44540727902946275
2005-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000119312505061027/d10k.htm,786,282,567,297,99,296,229,Salesforce Inc,1108524,-0.47191011235955055
2023-07-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852423000040/crm-20230731.htm,1100,318,975,566,42,582,370,Salesforce Inc,1108524,-0.5514809590973202
2023-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852423000023/crm-20230430.htm,1097,304,979,551,47,590,371,Salesforce Inc,1108524,-0.5660242683797287
2022-10-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000060/crm-20221031.htm,1026,305,982,546,50,586,362,Salesforce Inc,1108524,-0.5416979714500376
2022-07-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000041/crm-20220731.htm,1027,298,975,550,50,579,353,Salesforce Inc,1108524,-0.550188679245283
2022-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000022/crm-20220430.htm,1043,299,971,547,48,582,352,Salesforce Inc,1108524,-0.5543964232488823
2021-10-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852421000055/crm-20211031.htm,1116,338,1081,622,62,607,368,Salesforce Inc,1108524,-0.5350756533700137
2021-07-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852421000047/crm-20210731.htm,1128,335,1084,628,59,611,365,Salesforce Inc,1108524,-0.5420369104579631
2021-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852421000030/crm-20210430.htm,1113,311,1033,579,59,615,357,Salesforce Inc,1108524,-0.5632022471910112
2020-10-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852420000047/crm-20201031.htm,1129,357,1084,524,66,624,369,Salesforce Inc,1108524,-0.5195154777927322
2020-07-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852420000041/crm-20200731.htm,1032,344,1039,501,60,608,358,Salesforce Inc,1108524,-0.5
2020-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000007/crm-20200430.htm,1011,324,997,477,57,587,356,Salesforce Inc,1108524,-0.5146067415730337
2019-10-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852419000076/crm-20191031.htm,946,310,880,526,58,484,322,Salesforce Inc,1108524,-0.5063694267515924
2019-07-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852419000052/crmq2fy2010-q.htm,936,319,858,540,62,490,329,Salesforce Inc,1108524,-0.49163346613545816
2019-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852419000025/crmq1fy2010-q.htm,809,281,820,444,63,491,309,Salesforce Inc,1108524,-0.48440366972477067
2018-10-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852418000087/crmq3fy1910-q.htm,765,313,851,458,66,474,335,Salesforce Inc,1108524,-0.41929499072356213
2018-07-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852418000057/crmq2fy1910-q.htm,749,297,814,464,63,461,320,Salesforce Inc,1108524,-0.4321223709369025
2018-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852418000035/crmq1fy1910-q.htm,739,287,776,454,63,448,302,Salesforce Inc,1108524,-0.4405458089668616
2017-10-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852417000040/crmq3fy1810-q.htm,758,266,765,397,109,453,313,Salesforce Inc,1108524,-0.48046875
