date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/86312/000008631223000011/trv-20221231.htm,3212,799,1851,2203,155,711,729,Travelers Companies Inc,86312,-0.6015956120668162
2021-12-31,https://www.sec.gov/Archives/edgar/data/86312/000008631222000013/trv-20211231.htm,3241,777,1870,2240,150,734,738,Travelers Companies Inc,86312,-0.6132404181184669
2020-12-31,https://www.sec.gov/Archives/edgar/data/86312/000008631221000011/trv-20201231.htm,3288,749,1893,2258,150,758,759,Travelers Companies Inc,86312,-0.6289323755263809
2019-12-31,https://www.sec.gov/Archives/edgar/data/86312/000008631220000011/trv-12312019x10k.htm,3314,809,1978,2393,170,812,799,Travelers Companies Inc,86312,-0.6075673053601747
2018-12-31,https://www.sec.gov/Archives/edgar/data/86312/000008631219000009/trv-12312018x10k.htm,3311,863,1990,2380,196,819,797,Travelers Companies Inc,86312,-0.5864877815045519
2017-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746918000812/a2234469z10-k.htm,3553,942,2062,2558,211,823,857,Travelers Companies Inc,86312,-0.5808676307007786
2016-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746917000695/a2230860z10-k.htm,3579,944,2051,2630,204,822,836,Travelers Companies Inc,86312,-0.5825779349988945
2015-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746916010107/a2227255z10-k.htm,3514,953,2091,2576,218,827,850,Travelers Companies Inc,86312,-0.5733154242220729
2014-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746915000743/a2222930z10-k.htm,3569,991,2086,2554,215,809,840,Travelers Companies Inc,86312,-0.5653508771929825
2013-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746914000854/a2218113z10-k.htm,3620,1056,2098,2506,209,809,808,Travelers Companies Inc,86312,-0.5483319076133447
2012-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746913001997/a2213309z10-ka.htm,654,128,347,450,45,80,157,Travelers Companies Inc,86312,-0.6726342710997443
2012-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746913001211/a2212764z10-k.htm,3591,1005,2028,2479,206,750,813,Travelers Companies Inc,86312,-0.5626631853785901
2011-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746912001096/a2207136z10-k.htm,3705,981,2005,2482,199,706,855,Travelers Companies Inc,86312,-0.5813060179257362
2010-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746911001001/a2201945z10-k.htm,3735,1009,1965,2474,201,668,858,Travelers Companies Inc,86312,-0.5746205733558178
2009-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746910000972/a2196528z10-k.htm,3883,1048,1946,2661,200,643,819,Travelers Companies Inc,86312,-0.574934090448185
2008-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746909001591/a2190694z10-k.htm,3687,1022,1873,2658,206,591,767,Travelers Companies Inc,86312,-0.565937566362285
2007-12-31,https://www.sec.gov/Archives/edgar/data/86312/000104746908001551/a2182807z10-k.htm,3571,1001,1698,2719,238,503,724,Travelers Companies Inc,86312,-0.5621172353455818
2006-12-31,https://www.sec.gov/Archives/edgar/data/86312/000110465907014971/a07-4921_110ka.htm,3779,914,1654,2876,201,459,704,Travelers Companies Inc,86312,-0.6104836991263584
2006-12-31,https://www.sec.gov/Archives/edgar/data/86312/000110465907013516/a07-4921_110k.htm,3780,908,1654,2873,203,459,704,Travelers Companies Inc,86312,-0.6126279863481229
2005-12-31,https://www.sec.gov/Archives/edgar/data/86312/000110465906012299/a06-2768_110k.htm,3285,708,1386,2591,187,377,644,Travelers Companies Inc,86312,-0.6453794139744553
2004-12-31,https://www.sec.gov/Archives/edgar/data/86312/000119312505052696/d10k.htm,2814,747,1266,2278,210,291,632,Travelers Companies Inc,86312,-0.5804549283909014
2003-12-31,https://www.sec.gov/Archives/edgar/data/86312/000110465904006321/a04-2923_210k.htm,2549,672,1254,1427,217,251,542,Travelers Companies Inc,86312,-0.5827382800372555
2002-12-31,https://www.sec.gov/Archives/edgar/data/86312/000110465903004639/j8640_10k.htm,450,88,250,388,31,62,108,Travelers Companies Inc,86312,-0.6728624535315985
2001-12-31,https://www.sec.gov/Archives/edgar/data/86312/000091205702012514/a2074478z10-k405.htm,214,72,114,191,29,30,39,Travelers Companies Inc,86312,-0.4965034965034965
2000-12-31,https://www.sec.gov/Archives/edgar/data/86312/000008631201000004/0000086312-01-000004-0001.txt,165,71,118,197,17,38,30,Travelers Companies Inc,86312,-0.3983050847457627
1999-12-31,https://www.sec.gov/Archives/edgar/data/86312/000008631200000022/0000086312-00-000022-0001.txt,173,76,119,207,16,32,32,Travelers Companies Inc,86312,-0.3895582329317269
1999-12-31,https://www.sec.gov/Archives/edgar/data/86312/000008631200000015/,5,1,1,6,0,0,0,Travelers Companies Inc,86312,-0.6666666666666666
1998-12-31,https://www.sec.gov/Archives/edgar/data/86312/,5,1,1,6,0,0,0,Travelers Companies Inc,86312,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/86312/,5,1,1,6,0,0,0,Travelers Companies Inc,86312,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/86312/,5,1,1,6,0,0,0,Travelers Companies Inc,86312,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/86312/,5,1,1,6,0,0,0,Travelers Companies Inc,86312,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/86312/,5,1,1,6,0,0,0,Travelers Companies Inc,86312,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/86312/,5,1,1,6,0,0,0,Travelers Companies Inc,86312,-0.6666666666666666
2023-09-30,https://www.sec.gov/Archives/edgar/data/86312/000008631223000063/trv-20230930.htm,836,299,296,410,38,118,135,Travelers Companies Inc,86312,-0.4731277533039648
2023-06-30,https://www.sec.gov/Archives/edgar/data/86312/000008631223000053/trv-20230630.htm,893,298,304,406,36,124,138,Travelers Companies Inc,86312,-0.4995801847187238
2023-03-31,https://www.sec.gov/Archives/edgar/data/86312/000008631223000037/trv-20230331.htm,652,265,296,382,35,118,140,Travelers Companies Inc,86312,-0.42202835332606325
2022-09-30,https://www.sec.gov/Archives/edgar/data/86312/000008631222000065/trv-20220930.htm,831,315,301,415,40,119,141,Travelers Companies Inc,86312,-0.450261780104712
2022-06-30,https://www.sec.gov/Archives/edgar/data/86312/000008631222000055/trv-20220630.htm,785,303,307,400,37,125,140,Travelers Companies Inc,86312,-0.4430147058823529
2022-03-31,https://www.sec.gov/Archives/edgar/data/86312/000008631222000029/trv-20220331.htm,638,232,300,387,33,118,128,Travelers Companies Inc,86312,-0.4666666666666667
2021-09-30,https://www.sec.gov/Archives/edgar/data/86312/000008631221000042/trv-20210930.htm,861,305,302,438,37,118,133,Travelers Companies Inc,86312,-0.47684391080617494
2021-06-30,https://www.sec.gov/Archives/edgar/data/86312/000008631221000034/trv-20210630.htm,861,295,316,414,35,128,136,Travelers Companies Inc,86312,-0.48961937716262977
2021-03-31,https://www.sec.gov/Archives/edgar/data/86312/000008631221000018/trv-20210331.htm,646,221,304,394,32,124,135,Travelers Companies Inc,86312,-0.49019607843137253
