date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-12-31,https://www.sec.gov/Archives/edgar/data/732712/000073271223000012/vz-20221231.htm,705,439,729,473,95,223,453,Verizon Communications Inc,732712,-0.23251748251748253
2021-12-31,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/vz-20211231.htm,696,437,726,454,95,227,433,Verizon Communications Inc,732712,-0.22859664607237423
2020-12-31,https://www.sec.gov/Archives/edgar/data/732712/000073271221000012/vz-20201231.htm,771,461,709,471,110,251,492,Verizon Communications Inc,732712,-0.25162337662337664
2019-12-31,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/a2019q410-k.htm,196,108,213,211,22,118,114,Verizon Communications Inc,732712,-0.2894736842105263
2018-12-31,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/a2018q410-k.htm,204,167,212,210,45,115,117,Verizon Communications Inc,732712,-0.09973045822102426
2017-12-31,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/a201710-k.htm,196,177,212,192,50,109,109,Verizon Communications Inc,732712,-0.05093833780160858
2016-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312517050292/d296602d10k.htm,212,194,215,208,45,110,111,Verizon Communications Inc,732712,-0.04433497536945813
2015-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312516473367/d35513d10k.htm,213,190,206,198,50,107,122,Verizon Communications Inc,732712,-0.05707196029776675
2014-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312515057710/d820819d10k.htm,214,193,205,206,55,108,120,Verizon Communications Inc,732712,-0.051597051597051594
2013-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312514073266/d622994d10k.htm,237,198,201,187,41,106,91,Verizon Communications Inc,732712,-0.0896551724137931
2012-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312513075713/d441535d10k.htm,225,151,178,205,35,102,75,Verizon Communications Inc,732712,-0.19680851063829788
2011-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312512077846/d257450d10k.htm,217,158,168,232,38,90,80,Verizon Communications Inc,732712,-0.15733333333333333
2010-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312511049476/d10k.htm,198,192,181,248,36,98,89,Verizon Communications Inc,732712,-0.015384615384615385
2009-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312510041685/d10k.htm,180,218,201,211,57,99,89,Verizon Communications Inc,732712,0.09547738693467336
2008-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312509036349/d10k.htm,170,148,182,193,48,86,77,Verizon Communications Inc,732712,-0.06918238993710692
2007-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312508042027/d10k.htm,109,117,125,128,34,60,58,Verizon Communications Inc,732712,0.035398230088495575
2006-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312507044126/d10k.htm,132,104,185,246,44,82,106,Verizon Communications Inc,732712,-0.11864406779661017
2005-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312506053710/d10k.htm,103,90,135,299,44,57,96,Verizon Communications Inc,732712,-0.06735751295336788
2004-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312505049044/d10k.htm,89,77,119,294,40,42,94,Verizon Communications Inc,732712,-0.07228915662650602
2003-12-31,https://www.sec.gov/Archives/edgar/data/732712/000119312504040305/d10k.htm,86,74,120,264,41,41,92,Verizon Communications Inc,732712,-0.075
2002-12-31,https://www.sec.gov/Archives/edgar/data/732712/000095013403003953/d03879e10vk.htm,118,70,125,269,42,45,101,Verizon Communications Inc,732712,-0.2553191489361702
2001-12-31,https://www.sec.gov/Archives/edgar/data/732712/000095010902003261/d10ka.txt,460,311,395,291,70,91,284,Verizon Communications Inc,732712,-0.1932555123216602
2001-12-31,https://www.sec.gov/Archives/edgar/data/732712/000095010902001438/d10k.txt,77,72,108,230,48,30,78,Verizon Communications Inc,732712,-0.03355704697986577
2000-12-31,https://www.sec.gov/Archives/edgar/data/732712/000095010901000760/0000950109-01-000760-0001.txt,380,339,442,462,98,101,258,Verizon Communications Inc,732712,-0.05702364394993046
1999-12-31,https://www.sec.gov/Archives/edgar/data/732712/000095010900001253/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
1998-12-31,https://www.sec.gov/Archives/edgar/data/732712/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/732712/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
1997-12-31,https://www.sec.gov/Archives/edgar/data/732712/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/732712/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
1996-12-31,https://www.sec.gov/Archives/edgar/data/732712/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/732712/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
1995-12-31,https://www.sec.gov/Archives/edgar/data/732712/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/732712/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
1994-12-31,https://www.sec.gov/Archives/edgar/data/732712/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/732712/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
1993-12-31,https://www.sec.gov/Archives/edgar/data/732712/,5,1,1,6,0,0,0,Verizon Communications Inc,732712,-0.6666666666666666
2023-09-30,https://www.sec.gov/Archives/edgar/data/732712/000073271223000063/vz-20230930.htm,285,134,253,215,29,65,135,Verizon Communications Inc,732712,-0.360381861575179
2023-06-30,https://www.sec.gov/Archives/edgar/data/732712/000073271223000055/vz-20230630.htm,234,140,244,192,30,52,127,Verizon Communications Inc,732712,-0.25133689839572193
2023-03-31,https://www.sec.gov/Archives/edgar/data/732712/000073271223000029/vz-20230331.htm,192,125,231,171,30,51,123,Verizon Communications Inc,732712,-0.2113564668769716
2022-09-30,https://www.sec.gov/Archives/edgar/data/732712/000073271222000050/vz-20220930.htm,237,161,282,194,32,62,124,Verizon Communications Inc,732712,-0.19095477386934673
2022-06-30,https://www.sec.gov/Archives/edgar/data/732712/000073271222000043/vz-20220630.htm,234,143,277,176,32,61,120,Verizon Communications Inc,732712,-0.2413793103448276
2022-03-31,https://www.sec.gov/Archives/edgar/data/732712/000073271222000019/vz-20220331.htm,183,118,258,163,35,57,119,Verizon Communications Inc,732712,-0.2159468438538206
2021-09-30,https://www.sec.gov/Archives/edgar/data/732712/000073271221000054/vz-20210930.htm,244,138,257,172,38,60,120,Verizon Communications Inc,732712,-0.2774869109947644
2021-06-30,https://www.sec.gov/Archives/edgar/data/732712/000073271221000046/vz-20210630.htm,229,128,237,171,36,59,114,Verizon Communications Inc,732712,-0.28291316526610644
2021-03-31,https://www.sec.gov/Archives/edgar/data/732712/000073271221000024/vz-20210331.htm,213,110,224,162,39,55,110,Verizon Communications Inc,732712,-0.3188854489164087
2020-09-30,https://www.sec.gov/Archives/edgar/data/732712/000073271220000061/vz-20200930.htm,357,134,279,182,36,78,143,Verizon Communications Inc,732712,-0.45417515274949083
2020-06-30,https://www.sec.gov/Archives/edgar/data/732712/000073271220000052/vz-20200630.htm,332,131,273,182,30,79,142,Verizon Communications Inc,732712,-0.43412526997840173
2020-03-31,https://www.sec.gov/Archives/edgar/data/732712/000073271220000027/a2020q110-q.htm,321,125,262,170,36,77,142,Verizon Communications Inc,732712,-0.43946188340807174
2019-09-30,https://www.sec.gov/Archives/edgar/data/732712/000073271219000063/a2019q310-q.htm,216,142,243,164,35,67,141,Verizon Communications Inc,732712,-0.20670391061452514
2019-06-30,https://www.sec.gov/Archives/edgar/data/732712/000073271219000052/a2019q210-q.htm,201,126,228,159,34,62,139,Verizon Communications Inc,732712,-0.22935779816513763
2019-03-31,https://www.sec.gov/Archives/edgar/data/732712/000073271219000024/a2019q110-q.htm,204,129,214,158,41,62,142,Verizon Communications Inc,732712,-0.22522522522522523
2018-09-30,https://www.sec.gov/Archives/edgar/data/732712/000073271218000055/a2018q310-q.htm,305,193,286,260,56,87,175,Verizon Communications Inc,732712,-0.2248995983935743
2018-06-30,https://www.sec.gov/Archives/edgar/data/732712/000073271218000044/a2018q210-q.htm,286,175,275,258,45,81,169,Verizon Communications Inc,732712,-0.24078091106290672
2018-03-31,https://www.sec.gov/Archives/edgar/data/732712/000073271218000022/a2018q110-q.htm,263,150,267,257,52,67,175,Verizon Communications Inc,732712,-0.2736077481840194
2017-09-30,https://www.sec.gov/Archives/edgar/data/732712/000073271217000009/a2017q310-q.htm,324,208,323,184,65,73,126,Verizon Communications Inc,732712,-0.21804511278195488
2017-06-30,https://www.sec.gov/Archives/edgar/data/732712/000119312517247167/d427004d10q.htm,321,200,302,163,58,68,137,Verizon Communications Inc,732712,-0.23224568138195778
2017-03-31,https://www.sec.gov/Archives/edgar/data/732712/000119312517141799/d303348d10q.htm,269,148,239,146,74,47,134,Verizon Communications Inc,732712,-0.290167865707434
2016-09-30,https://www.sec.gov/Archives/edgar/data/732712/000119312516747399/d257047d10q.htm,300,242,282,140,58,64,120,Verizon Communications Inc,732712,-0.1070110701107011
2016-06-30,https://www.sec.gov/Archives/edgar/data/732712/000119312516664131/d211980d10q.htm,276,237,284,152,63,74,139,Verizon Communications Inc,732712,-0.07602339181286549
