date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-09-30,https://www.sec.gov/Archives/edgar/data/1403161/000140316122000081/v-20220930.htm,1111,391,711,962,73,352,425,Visa Inc,1403161,-0.4793608521970706
2021-09-30,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/v-20210930.htm,1093,404,721,984,79,362,439,Visa Inc,1403161,-0.46025384101536404
2020-09-30,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/v-20200930.htm,1200,436,801,1076,95,389,476,Visa Inc,1403161,-0.4669926650366748
2019-09-30,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/v093019form10k.htm,1082,425,742,1035,82,355,442,Visa Inc,1403161,-0.4359654943596549
2018-09-30,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/v093018.htm,1100,468,751,1046,109,371,424,Visa Inc,1403161,-0.4030612244897959
2017-09-30,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000044/v093017.htm,1190,456,758,1093,106,360,402,Visa Inc,1403161,-0.4459295261239368
2016-09-30,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000058/v093016.htm,1227,473,789,1147,112,364,394,Visa Inc,1403161,-0.4435294117647059
2015-09-30,https://www.sec.gov/Archives/edgar/data/1403161/000140316115000013/v093015.htm,1274,373,928,1215,129,481,451,Visa Inc,1403161,-0.5470552519732848
2014-09-30,https://www.sec.gov/Archives/edgar/data/1403161/000140316114000017/v09301410-k.htm,1306,361,881,1294,111,450,455,Visa Inc,1403161,-0.5668866226754649
2013-09-30,https://www.sec.gov/Archives/edgar/data/1403161/000140316113000011/v09301310-k.htm,1224,361,851,1196,124,434,421,Visa Inc,1403161,-0.5444794952681388
2012-09-30,https://www.sec.gov/Archives/edgar/data/1403161/000138410812000011/v09301210-k.htm,1324,450,883,1251,131,428,457,Visa Inc,1403161,-0.4926719278466742
