date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2023-08-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892123000062/wba-20230831.htm,1544,813,1190,908,94,541,424,Walgreens Boots Alliance Inc,1618921,-0.3101400084853628
2022-08-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892122000100/wba-20220831.htm,17,138,4,59,2,1,18,Walgreens Boots Alliance Inc,1618921,0.7806451612903226
2022-08-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892122000064/wba-20220831.htm,1385,781,1113,777,105,500,403,Walgreens Boots Alliance Inc,1618921,-0.2788550323176362
2021-08-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000129/wba-20210831.htm,19,189,6,77,2,3,21,Walgreens Boots Alliance Inc,1618921,0.8173076923076923
2021-08-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000085/wba-20210831.htm,1204,801,951,676,104,415,413,Walgreens Boots Alliance Inc,1618921,-0.20099750623441395
2020-08-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000082/wba-20200831.htm,1346,721,1203,785,143,547,492,Walgreens Boots Alliance Inc,1618921,-0.30237058538945333
2019-08-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000069/wba-2019831x10k.htm,1199,720,1070,780,123,489,444,Walgreens Boots Alliance Inc,1618921,-0.24960917144346015
2018-08-31,https://www.sec.gov/Archives/edgar/data/1618921/000162828018012472/wba-2018831x10k.htm,1117,741,997,719,134,470,395,Walgreens Boots Alliance Inc,1618921,-0.2023681377825619
2017-08-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892117000069/wba-2017831x10k.htm,1102,838,953,648,127,435,397,Walgreens Boots Alliance Inc,1618921,-0.1360824742268041
2016-08-31,https://www.sec.gov/Archives/edgar/data/1618921/000114036116083198/form10k.htm,1107,880,979,660,117,431,406,Walgreens Boots Alliance Inc,1618921,-0.11424257674886763
2015-08-31,https://www.sec.gov/Archives/edgar/data/1618921/000114036115038791/form10k.htm,1080,953,1055,575,141,437,427,Walgreens Boots Alliance Inc,1618921,-0.06246925725528775
2023-05-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892123000043/wba-20230531.htm,476,345,683,336,33,415,123,Walgreens Boots Alliance Inc,1618921,-0.15956151035322777
2023-02-28,https://www.sec.gov/Archives/edgar/data/1618921/000161892123000019/wba-20230228.htm,483,335,323,354,30,78,99,Walgreens Boots Alliance Inc,1618921,-0.18092909535452323
2022-11-30,https://www.sec.gov/Archives/edgar/data/1618921/000161892123000005/wba-20221130.htm,408,287,303,320,32,75,101,Walgreens Boots Alliance Inc,1618921,-0.17410071942446043
2022-05-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892122000040/wba-20220531.htm,451,312,646,282,38,415,129,Walgreens Boots Alliance Inc,1618921,-0.182175622542595
2022-02-28,https://www.sec.gov/Archives/edgar/data/1618921/000161892122000024/wba-20220228.htm,402,279,306,235,33,89,121,Walgreens Boots Alliance Inc,1618921,-0.18061674008810572
2021-11-30,https://www.sec.gov/Archives/edgar/data/1618921/000161892122000004/wba-20211130.htm,400,250,310,230,37,96,110,Walgreens Boots Alliance Inc,1618921,-0.23076923076923078
2021-05-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000056/wba-20210531.htm,527,324,638,310,42,412,162,Walgreens Boots Alliance Inc,1618921,-0.23854289071680376
2021-02-28,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000034/wba-20210228.htm,459,302,345,329,51,115,143,Walgreens Boots Alliance Inc,1618921,-0.20630749014454666
2020-11-30,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000005/wba-20201130.htm,450,243,345,309,55,113,145,Walgreens Boots Alliance Inc,1618921,-0.2987012987012987
2020-05-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000057/wba-20200531.htm,646,207,827,360,67,499,222,Walgreens Boots Alliance Inc,1618921,-0.5146541617819461
2020-02-29,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000025/wba-20200229.htm,443,211,377,314,53,126,157,Walgreens Boots Alliance Inc,1618921,-0.3547400611620795
2019-11-30,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000008/wba-20191130.htm,329,189,281,271,41,88,140,Walgreens Boots Alliance Inc,1618921,-0.2702702702702703
2019-05-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000039/wba-2019531x10q.htm,317,187,492,293,44,305,131,Walgreens Boots Alliance Inc,1618921,-0.25793650793650796
2019-02-28,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000017/wba-2019228x10q.htm,313,185,291,311,43,91,128,Walgreens Boots Alliance Inc,1618921,-0.2570281124497992
2018-11-30,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000096/wba-20181130x10q.htm,319,197,270,306,46,84,130,Walgreens Boots Alliance Inc,1618921,-0.2364341085271318
2018-05-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000033/wba-2018531x10q.htm,308,209,523,294,58,318,109,Walgreens Boots Alliance Inc,1618921,-0.19148936170212766
2018-02-28,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000018/wba-2018228x10q.htm,270,201,273,273,59,76,109,Walgreens Boots Alliance Inc,1618921,-0.1464968152866242
2017-11-30,https://www.sec.gov/Archives/edgar/data/1618921/000161892118000004/wba-20171130x10q.htm,269,172,258,268,52,74,103,Walgreens Boots Alliance Inc,1618921,-0.2199546485260771
2017-05-31,https://www.sec.gov/Archives/edgar/data/1618921/000161892117000048/wba-2017531x10q.htm,372,233,592,225,63,384,119,Walgreens Boots Alliance Inc,1618921,-0.22975206611570248
2017-02-28,https://www.sec.gov/Archives/edgar/data/1618921/000161892117000026/wba-2017228x10q.htm,364,236,241,251,59,71,157,Walgreens Boots Alliance Inc,1618921,-0.21333333333333335
2016-11-30,https://www.sec.gov/Archives/edgar/data/1618921/000114036117000720/form10q.htm,301,185,253,221,46,65,129,Walgreens Boots Alliance Inc,1618921,-0.23868312757201646
2016-05-31,https://www.sec.gov/Archives/edgar/data/1618921/000114036116071838/form10q.htm,417,369,737,262,59,484,179,Walgreens Boots Alliance Inc,1618921,-0.061068702290076333
