date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2023-01-31,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm,1033,386,686,729,98,335,285,Walmart Inc,104169,-0.4559548978153629
2022-01-31,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131.htm,998,375,674,661,92,326,295,Walmart Inc,104169,-0.4537509104151493
2021-01-31,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/wmt-20210131.htm,887,322,669,595,101,306,303,Walmart Inc,104169,-0.46732837055417703
2020-01-31,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/wmtform10-kx1312020.htm,775,301,659,514,102,295,315,Walmart Inc,104169,-0.44052044609665425
2019-01-31,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/wmtform10-kx1312019.htm,784,301,658,554,116,291,289,Walmart Inc,104169,-0.44516129032258067
2018-01-31,https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/wmtform10-kx1312018.htm,759,306,650,547,115,312,271,Walmart Inc,104169,-0.4253521126760563
2017-01-31,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021/wmtform10-kx1312017.htm,424,121,307,310,48,187,107,Walmart Inc,104169,-0.5559633027522936
2016-01-31,https://www.sec.gov/Archives/edgar/data/104169/000010416916000079/wmtform10-kx1312016.htm,456,124,303,297,54,182,104,Walmart Inc,104169,-0.5724137931034483
2015-01-31,https://www.sec.gov/Archives/edgar/data/104169/000010416915000011/wmtform10-kx13115.htm,395,117,267,272,51,159,99,Walmart Inc,104169,-0.54296875
2014-01-31,https://www.sec.gov/Archives/edgar/data/104169/000010416914000019/wmtform10-kx13114.htm,410,103,268,312,48,158,93,Walmart Inc,104169,-0.5984405458089669
2013-01-31,https://www.sec.gov/Archives/edgar/data/104169/000010416913000011/wmt10-k.htm,376,95,244,277,48,145,81,Walmart Inc,104169,-0.5966029723991507
2012-01-31,https://www.sec.gov/Archives/edgar/data/104169/000119312512134679/d270972d10k.htm,265,87,203,200,46,103,77,Walmart Inc,104169,-0.5056818181818182
