date,link,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining,Company,CIK,sentiment_score
2022-10-01,https://www.sec.gov/Archives/edgar/data/1744489/000119312523014219/d431948d10ka.htm,238,281,160,98,97,57,134,Walt Disney Co,1744489,0.08285163776493257
2022-10-01,https://www.sec.gov/Archives/edgar/data/1744489/000174448922000213/dis-20221001.htm,799,397,718,391,78,303,381,Walt Disney Co,1744489,-0.33612040133779264
2021-10-02,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/dis-20211002.htm,920,393,775,388,80,327,413,Walt Disney Co,1744489,-0.4013709063214014
2020-10-03,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000197/dis-20201003.htm,1034,422,839,427,94,319,460,Walt Disney Co,1744489,-0.42032967032967034
2019-09-28,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000225/fy2019q410k.htm,757,412,705,414,77,256,355,Walt Disney Co,1744489,-0.2951240376390077
2023-07-01,https://www.sec.gov/Archives/edgar/data/1744489/000174448923000171/dis-20230701.htm,492,189,280,204,28,101,193,Walt Disney Co,1744489,-0.44493392070484583
2023-04-01,https://www.sec.gov/Archives/edgar/data/1744489/000174448923000099/dis-20230401.htm,412,189,283,161,22,101,176,Walt Disney Co,1744489,-0.37104825291181365
2022-12-31,https://www.sec.gov/Archives/edgar/data/1744489/000174448923000049/dis-20221231.htm,288,115,229,130,10,76,151,Walt Disney Co,1744489,-0.4292803970223325
2022-07-02,https://www.sec.gov/Archives/edgar/data/1744489/000174448922000161/dis-20220702.htm,389,160,249,138,18,72,170,Walt Disney Co,1744489,-0.41712204007285975
2022-04-02,https://www.sec.gov/Archives/edgar/data/1744489/000174448922000100/dis-20220402.htm,401,169,253,147,18,74,171,Walt Disney Co,1744489,-0.4070175438596491
2022-01-01,https://www.sec.gov/Archives/edgar/data/1744489/000174448922000059/dis-20220101.htm,273,111,242,119,18,74,161,Walt Disney Co,1744489,-0.421875
2021-07-03,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000181/dis-20210703.htm,669,207,428,183,36,196,234,Walt Disney Co,1744489,-0.5273972602739726
2021-04-03,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000108/dis-20210403.htm,615,198,415,162,39,190,207,Walt Disney Co,1744489,-0.5129151291512916
2021-01-02,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000047/dis-20210102.htm,481,147,383,141,44,182,185,Walt Disney Co,1744489,-0.5318471337579618
2020-06-27,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000151/dis-20200627.htm,800,245,574,214,62,265,271,Walt Disney Co,1744489,-0.5311004784688995
2020-03-28,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000102/dis-20200328.htm,672,228,515,208,55,250,226,Walt Disney Co,1744489,-0.49333333333333335
2019-12-28,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000046/dis-20191228.htm,281,104,222,108,25,61,131,Walt Disney Co,1744489,-0.4597402597402597
2019-06-29,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000167/fy2019q310qdoc.htm,418,179,294,180,32,78,183,Walt Disney Co,1744489,-0.40033500837520936
2019-03-30,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000100/fy2019q210qdoc.htm,400,187,268,190,31,76,166,Walt Disney Co,1744489,-0.3628620102214651
