,2_YR_Treasury,Eff_Fed_Funds,Real_GDP,Core_CPI,PCE,Unemployment,Savings_Rate,Retail_Sales,Manufacturing_PMI,Consumer_Sent,Liquidity,Volatility,SP_500
2_YR_Treasury,1.0,0.9408093304424907,-0.39725225162699307,0.5024841648698335,-0.4132036511706096,-0.569035279918922,-0.47525813787625765,-0.10128214481447945,-0.1159051663676472,0.35809868762018754,-0.49959982312092177,-0.09114585287320451,-0.1531641033227621
Eff_Fed_Funds,0.9408093304424907,1.0,-0.4259804557890064,0.3816264560691123,-0.4526089024336186,-0.5269705162131962,-0.4530849836279944,-0.010664096372663476,-0.21206170868644023,0.4131918978369824,-0.4804130939433781,-0.09529275428440231,-0.22004062732296253
Real_GDP,-0.39725225162699307,-0.4259804557890064,1.0,0.1618078131921711,0.9943703977255036,-0.21811529792342063,0.4908340417642948,-0.17865379569047146,0.41663700437801343,-0.24638159786756805,0.5514229929325203,-0.18199435949548526,0.8877237221412081
Core_CPI,0.5024841648698335,0.3816264560691123,0.1618078131921711,1.0,0.17939756925269973,-0.6416158366817095,-0.11731079090683952,-0.3484712754239212,-0.20715633070620953,-0.07534442681827967,-0.13956679117626355,0.09819654470196966,0.39462759739889697
PCE,-0.4132036511706096,-0.4526089024336186,0.9943703977255036,0.17939756925269973,1.0,-0.1798649877720512,0.5150533844499283,-0.17130883882568948,0.41054850491377587,-0.3005171183821356,0.5664837611038415,-0.13895705139973677,0.9062804396869936
Unemployment,-0.569035279918922,-0.5269705162131962,-0.21811529792342063,-0.6416158366817095,-0.1798649877720512,1.0,0.32978291800223186,0.18956022931647334,-0.10841944003355297,-0.46011234539256274,0.329730832213337,0.2935792002970929,-0.3667299836747896
Savings_Rate,-0.47525813787625765,-0.4530849836279944,0.4908340417642948,-0.11731079090683952,0.5150533844499283,0.32978291800223186,1.0,0.09891924485335805,0.1268920890639455,-0.15412000138089968,0.40994928770566724,0.18135453729168657,0.5134993897457046
Retail_Sales,-0.10128214481447945,-0.010664096372663476,-0.17865379569047146,-0.3484712754239212,-0.17130883882568948,0.18956022931647334,0.09891924485335805,1.0,0.028618339514142947,0.2175082590959224,-0.11477751022336545,-0.1758834170762252,-0.19520737226299756
Manufacturing_PMI,-0.1159051663676472,-0.21206170868644023,0.41663700437801343,-0.20715633070620953,0.41054850491377587,-0.10841944003355297,0.1268920890639455,0.028618339514142947,1.0,0.07838120079988202,-0.011629295743671135,-0.49940821581789696,0.432134691362338
Consumer_Sent,0.35809868762018754,0.4131918978369824,-0.24638159786756805,-0.07534442681827967,-0.3005171183821356,-0.46011234539256274,-0.15412000138089968,0.2175082590959224,0.07838120079988202,1.0,-0.5464874807336346,-0.41650878627774046,-0.16918482171383253
Liquidity,-0.49959982312092177,-0.4804130939433781,0.5514229929325203,-0.13956679117626355,0.5664837611038415,0.329730832213337,0.40994928770566724,-0.11477751022336545,-0.011629295743671135,-0.5464874807336346,1.0,0.3475397482188694,0.3452933430346354
Volatility,-0.09114585287320451,-0.09529275428440231,-0.18199435949548526,0.09819654470196966,-0.13895705139973677,0.2935792002970929,0.18135453729168657,-0.1758834170762252,-0.49940821581789696,-0.41650878627774046,0.3475397482188694,1.0,-0.1388589800812741
SP_500,-0.1531641033227621,-0.22004062732296253,0.8877237221412081,0.39462759739889697,0.9062804396869936,-0.3667299836747896,0.5134993897457046,-0.19520737226299756,0.432134691362338,-0.16918482171383253,0.3452933430346354,-0.1388589800812741,1.0
